X,Y,FID,OGF_ID,MOH_PRO_ID,SERV_TYPE,SERV_DET,EN_NAME,FR_NAME,EN_ALT,FR_ALT,ADDRESS_1,ADDRESS_2,ADDR_DESCR,COMMUNITY,POSTALCODE,GEO_UPT_DT,EFF_DATE
-83.03261601,42.30682097,862,127906900,6870,Pharmacy,RP,Ouellette Avenue Pharmacy, , , ,1103 Ouellette Avenue, , ,Windsor,N9A4K1, ,2.02E+13
-79.44964906,44.23459138,863,127907728,9456,Pharmacy,RP,Rexall #8156, , , ,76 Arlington Drive,Unit C, ,Georgina,L4P0A9, ,2.02E+13
-81.02909935,44.14189079,864,127907729,9457,Pharmacy,RP,Hanover Pharmasave, , , ,118 7th Avenue,Unit 101, ,Hanover,N4N2G9, ,2.02E+13
-79.37387058,43.64818269,865,127907730,9458,Pharmacy,RP,Rexall #8159, , , ,63 Front Street East, , ,Toronto,M5E1B3, ,2.02E+13
-77.36936348,44.16322237,867,127907732,9462,Pharmacy,RP,Rexall #8160, , , ,210 Dundas Street East,Unit 104, ,Belleville,K8N5G8, ,2.02E+13
-79.37897768,43.65206959,868,127907733,9464,Pharmacy,RP,Rexall #8161, , , ,159 Yonge Street, , ,Toronto,M5C1X7, ,2.02E+13
-79.37871958,43.64108248,869,127907734,9467,Pharmacy,RP,Rexall #8164, , , ,88 Queens Quay West, , ,Toronto,M5J0B8, ,2.02E+13
-91.62439555,48.75688454,870,127907735,9468,Pharmacy,RP,Rexall #8167, , , ,123 Marks Street, , ,Atikokan,P0T1C0, ,2.02E+13
-80.31365576,43.3900938,871,127907736,9469,Pharmacy,RP,Rexall #8169, , , ,350 Conestoga Boulevard,"Unit B7, 8", ,Cambridge,N1R7L7, ,2.02E+13
-89.25485066,48.38120916,872,127907737,9471,Pharmacy,RP,Rexall #8170, , , ,1265 Arthur Street East,Unit 100, ,Thunder Bay,P7E6E7, ,2.02E+13
-79.66038507,43.56766696,873,127907738,9472,Pharmacy,RP,Wellness Pharmacy, , , ,1177 Central Parkway West,Unit 67, ,Mississauga,L5C4P3, ,2.02E+13
-80.27765326,43.53897692,874,127907739,9473,Pharmacy,RP,Rexall #8171, , , ,105 Silvercreek Parkway North,Unit 103, ,Guelph,N1H6S4, ,2.02E+13
-80.99245098,46.49192078,876,127907741,9477,Pharmacy,RP,Rexall #8182, , , ,117 Cedar Street,Unit B, ,Greater Sudbury,P3E1A9, ,2.02E+13
-74.96699248,45.17216214,877,127907742,9482,Pharmacy,RP,Avonmore Pharmacy, , , ,3287 Main Street, , ,Avonmore,K0C1C0, ,2.02E+13
-75.52570629,45.47110597,878,127907743,9487,Pharmacy,RP,Rexall #8185, , , ,2555 Saint Joseph Boulevard, , ,Ottawa,K1C1S6, ,2.02E+13
-75.93349251,45.35682783,879,127907744,9488,Pharmacy,RP,Rexall #8186, , , ,832 March Road, , ,Ottawa,K2W0C9, ,2.02E+13
-78.33337141,44.32472785,880,127907745,9491,Pharmacy,RP,Wal-Mart Pharmacy, , , ,1002 Chemong Road, , ,Peterborough,K9H7E2, ,2.02E+13
-80.94444597,44.57319657,881,127907746,9492,Pharmacy,RP,Rexall #8187, , , ,1415 1st Avenue West, , ,Owen Sound,N4K4K8, ,2.02E+13
-79.23345759,43.16371481,882,127907747,9493,Pharmacy,RP,Rexall #8201, , , ,111 Queenston Street, , ,St. Catharines,L2R2Z5, ,2.02E+13
-79.84678679,43.23228859,883,127907748,9494,Pharmacy,RP,Rexall #8202, , , ,517 Upper Sherman Avenue, , ,Hamilton,L8V3L7, ,2.02E+13
-80.27712462,43.15294326,884,127907749,9496,Pharmacy,RP,Rexall #8203, , , ,260 St. Paul Avenue, , ,Brantford,N3R4M7, ,2.02E+13
-79.89239661,43.25130329,885,127907750,9498,Pharmacy,RP,Rexall #8204, , , ,331 Dundurn Street, , ,Hamilton,L8P4L5, ,2.02E+13
-79.82783589,43.22606509,886,127907751,9499,Pharmacy,RP,Rexall #8205, , , ,1119 Fennell Avenue, , ,Hamilton,L8T1S2, ,2.02E+13
-79.41166099,43.66556279,887,127907752,9501,Pharmacy,RP,Bathurst-Bloor Ida Drug Mart, , , ,800 Bathurst Street, , ,Toronto,M5R3G1, ,2.02E+13
-79.97561454,43.22748378,889,127907754,9504,Pharmacy,RP,Rexall #8207, , , ,370 Wilson Street East, , ,Hamilton,L9G4S4, ,2.02E+13
-79.61753019,42.90265844,890,127907755,9507,Pharmacy,RP,Rexall #8209, , , ,155 Lock Street East, , ,Dunnville,N1A1J6, ,2.02E+13
-79.78882718,43.24295759,891,127907756,9508,Pharmacy,RP,Rexall #8210, , , ,234 Parkdale Avenue North, , ,Hamilton,L8H5X5, ,2.02E+13
-79.31885086,43.67262379,892,127907757,9509,Pharmacy,RP,Gerrard St Pharmacy Ltd, , , ,247 Coxwell Avenue, , ,Toronto,M4L3B4, ,2.02E+13
-79.88122061,43.23098209,894,127907759,9511,Pharmacy,RP,Rexall #8211, , , ,730 Upper James Street, , ,Hamilton,L9C2Z9, ,2.02E+13
-79.27242319,43.00289468,896,127907761,9514,Pharmacy,RP,Rexall #8212, , , ,325 Thorold Road West, , ,Welland,L3C3W4, ,2.02E+13
-80.23530271,43.14552566,897,127907762,9516,Pharmacy,RP,Rexall #8214, , , ,99 Wayne Gretzky Parkway,Unit 117, ,Brantford,N3S6T6, ,2.02E+13
-79.38187788,43.65939679,898,127907763,9517,Pharmacy,RP,Rexall #8175, , , ,401 Yonge Street, , ,Toronto,M5B1S9, ,2.02E+13
-79.24225155,43.7212059,899,127907764,9519,Pharmacy,RP,St Clair & Brimley Ida Pharmac, , , ,3750 Saint Clair Avenue East,Unit 6, ,Toronto,M1M1T9, ,2.02E+13
-81.2110879,43.00671479,900,127907765,9523,Pharmacy,RP,Oxbury Pharmacy, , , ,1299 Oxford Street East,Unit 59E, ,London,N5Y4W5, ,2.02E+13
-79.61551885,43.53057425,901,127907766,9525,Pharmacy,RP,Arrow Pharmacy, , , ,1150 Lorne Park Road, , ,Mississauga,L5H3A5, ,2.02E+13
-78.3348642,44.28387064,902,127907767,9526,Pharmacy,RP,Shoppers Drug Mart #614, , , ,741 Lansdowne Street West, , ,Peterborough,K9J1Z2, ,2.02E+13
-79.5592684,43.1925801,903,127907768,9527,Pharmacy,RP,Hodgins Pharmacy, , , ,37 Main Street East, , ,Grimsby,L3M1M7, ,2.02E+13
-80.57340834,43.44592479,904,127907769,9532,Pharmacy,RP,Shoppers Drugmart #730, , , ,658 Erb Street West, , ,Waterloo,N2T2Z7, ,2.02E+13
-81.2054,42.93559997,905,127907770,9533,Pharmacy,RP,Yurek Specialties Ltd, , , ,526 Newbold Street, , ,London,N6E1K6, ,2.02E+13
-79.59712625,43.66277518,906,127907771,9537,Pharmacy,RP,Medical Pharmacy, , , ,2735 Matheson Boulevard East,Unit 2, ,Mississauga,L4W4M8, ,2.02E+13
-79.23802225,43.81375982,907,127907772,9542,Pharmacy,RP,Pharmore Pharmacy, , , ,5633 Finch Avenue East,Unit 7, ,Toronto,M1B5K9, ,2.02E+13
-78.85945264,43.89831975,908,127907773,9544,Pharmacy,RP,Clinic Pharmacy, , , ,117 King Street East, , ,Oshawa,L1H1B9, ,2.02E+13
-80.96111596,43.36758666,909,127907774,9546,Pharmacy,RP,Stratford Medical Pharmacy, , , ,444 Douro Street,Unit 108, ,Gads Hill,N5A0E6, ,2.02E+13
-80.48970051,43.38697619,910,127907775,9548,Pharmacy,RP,Huron Village Pharmacy, , , ,125 Seabrook Drive, , ,Kitchener,N2R1Y1, ,2.02E+13
-82.18924936,42.40959563,911,127907776,9550,Pharmacy,RP,Bmc Pharmacy, , , ,69 Grand Avenue East,Unit B, ,Chatham-Kent,N7L1V8, ,2.02E+13
-82.40578107,42.97012942,912,127907777,9552,Pharmacy,RP,Bmc Pharmacy, , , ,118 Victoria Street, , ,Sarnia,N7T5W9, ,2.02E+13
-81.23160381,42.95073857,913,127907778,9554,Pharmacy,RP,Wilkins Pharmacy, , , ,699 Wilkins Street,Unit 5, ,London,N6C5C8, ,2.02E+13
-81.31045664,43.01983548,914,127907779,9555,Pharmacy,RP,Shoppers Drug Mart #1328, , , ,603 Fanshawe Park Road West, , ,London,N6G5B3, ,2.02E+13
-78.37574152,44.27406864,915,127907780,9557,Pharmacy,RP,Shoppers Drug Mart #1017, , , ,1875 Lansdowne Street West, , ,Peterborough,K9K0C9, ,2.02E+13
-89.23333977,48.44877657,916,127907781,9558,Pharmacy,RP,Shoppers Drug Mart #678, , , ,640 River Street, , ,Thunder Bay,P7A3S4, ,2.02E+13
-78.94208267,43.90232885,1002,127906901,6873,Pharmacy,RP,Philips Pharmacy, , , ,3050 Garden Street,Unit 103, ,Whitby,L1R2G7, ,2.02E+13
-79.66332317,43.60511516,1003,127906902,6874,Pharmacy,RP,Ceremonial Pharmacy, , , ,223 Ceremonial Drive,Unit 2, ,Mississauga,L5R2N3, ,2.02E+13
-79.42255248,44.59706165,1004,127906903,6875,Pharmacy,RP,Bens Pharmacy, , , ,210 Memorial Avenue, , ,Orillia,L3V7V1, ,2.02E+13
-81.53915196,43.61649998,1005,127906904,6877,Pharmacy,RP,K and J Pharmacy, , , ,21 Victoria Street, , ,Londesborough,N0M1L0, ,2.02E+13
-79.39063738,43.63845818,1006,127906905,6878,Pharmacy,RP,Shoppers Drug Mart #1321, , , ,390 Queens Quay West, , ,Toronto,M5V3A6, ,2.02E+13
-81.19122226,46.56984478,1007,127906906,6879,Pharmacy,RP,Chelmsford Ida Pharmacy, , , ,3672 Ontario 144,R.R. 4, ,Greater Sudbury,P0M1L0, ,2.02E+13
-79.97693104,43.22631728,1008,127906907,6880,Pharmacy,RP,Rastin's Wilson St Pharmacy, , , ,323 Wilson Street East, , ,Hamilton,L9G4A8, ,2.02E+13
-79.67242877,43.54006995,1009,127906908,6883,Pharmacy,RP,Millway Drug Mart Inc, , , ,3200 Erin Mills Parkway,Unit 6 & 7, ,Mississauga,L5L1W8, ,2.02E+13
-79.67017466,43.53423815,1010,127906909,6884,Pharmacy,RP,Dunwin Pharmacy, , , ,2111 Dunwin Drive,Unit 6, ,Mississauga,L5L3C1, ,2.02E+13
-79.44639132,43.79887151,1011,127906910,6886,Pharmacy,RP,Chabad Gate Pharmacy, , , ,7241 Bathurst Street,Unit 9, ,Vaughan,L4J3W1, ,2.02E+13
-79.56894834,43.59302557,1012,127906911,6887,Pharmacy,RP,Drug Store Pharmacy #4120, , , ,1250 South Service Road, , ,Mississauga,L5E1V4, ,2.02E+13
-79.29455116,43.6896619,1013,127906912,6889,Pharmacy,RP,Medimost Pharmacy, , , ,2883 Danforth Avenue, , ,Toronto,M4C1M3, ,2.02E+13
-83.03150751,42.30964607,1014,127906913,6891,Pharmacy,RP,Erie Health & Wellness Phrmacy, , , ,101 Erie Street East, , ,Windsor,N9A3W6, ,2.02E+13
-79.30807207,43.7428793,1016,127906915,6898,Pharmacy,RP,Newton Pharmacy, , , ,1750 Lawrence Avenue East, , ,Toronto,M1R2Y1, ,2.02E+13
-81.48256242,43.36258263,1017,127906916,6899,Pharmacy,RP,Exeter Guardian Pharmacy, , , ,44 Thames Road East,Unit 38, ,Exeter,N0M1S3, ,2.02E+13
-82.14798978,42.88165692,1018,127906917,6905,Pharmacy,RP,Hogan Pharmacy, , , ,4177 Petrolia Line, , ,Petrolia,N0N1R0, ,2.02E+13
-83.06167501,42.23383196,1019,127906918,6907,Pharmacy,RP,Essential Pharmacy, , , ,6525 Malden Road,Unit 3, ,Windsor,N9H1T5, ,2.02E+13
-79.442054,43.65861148,1020,127906919,6910,Pharmacy,RP,Metro Drugs, , , ,1290 Bloor Street West, , ,Toronto,M6H1H9, ,2.02E+13
-80.73521284,43.98121138,1021,127906920,6911,Pharmacy,RP,Walsh's Ida Pharmacy MT.FOREST, , , ,129 Main Street South,Postal Office Box 700, ,Mount Forest,N0G2L0, ,2.02E+13
-79.64878216,43.51253575,1024,127906923,6915,Pharmacy,RP,Truscott Pharmacy, , , ,2425 Truscott Drive, , ,Mississauga,L5J2B4, ,2.02E+13
-79.89771612,43.3310088,1025,127906924,6918,Pharmacy,RP,Shoppers Drug Mart #1054, , , ,255 Dundas Street East,Unit SS4-, ,Hamilton,L0R2H6, ,2.02E+13
-79.48190135,44.07319775,1026,127906925,6919,Pharmacy,RP,Elite Care Pharmacy, , , ,181 Green Lane East,Unit 2, ,Newmarket,L9N0C9, ,2.02E+13
-82.72687459,42.03746144,1027,127906926,6920,Pharmacy,RP,Kingsville Ida Pharmacy, , , ,271 Main Street East, , ,Kingsville,N9Y1A2, ,2.02E+13
-80.28278525,43.3899441,1028,127906927,6921,Pharmacy,RP,Cambridge Drugs, , , ,525 Saginaw Parkway,Unit A3, ,Cambridge,N1T0C3, ,2.02E+13
-79.95266653,43.26267119,1029,127906928,6922,Pharmacy,RP,Dundas Community Pharmacy, , , ,92 Main Street, , ,Hamilton,L9H2R1, ,2.02E+13
-79.81198932,43.68397477,1030,127906929,6923,Pharmacy,RP,Brisdale Pharmacy, , , ,5 Brisdale Drive,Unit 103, ,Brampton,L7A0S9, ,2.02E+13
-80.50022642,43.41857989,1031,127906930,6924,Pharmacy,RP,Forest Hill Pharmacy, , , ,720 Westmount Road East, , ,Kitchener,N2E2M6, ,2.02E+13
-75.65650669,45.01865699,1032,127906931,6925,Pharmacy,RP,Loblaw Pharmacy, , , ,2600 Highway 43 West,Unit 1, ,Kemptville,K0G1J0, ,2.02E+13
-79.69778417,43.44580063,1033,127906932,6927,Pharmacy,RP,Wyecroft Pharmacy, , , ,245 Wyecroft Road,Unit 1, ,Oakville,L6K3Y6, ,2.02E+13
-80.98270411,42.77280315,1034,127906933,6929,Pharmacy,RP,Aylmer Ida Pharmacy, , , ,6 Talbot Street East, , ,Aylmer,N5H1H4, ,2.02E+13
-80.74541375,42.87773878,1036,127906935,6932,Pharmacy,RP,Tillsonburg Care Pharmacy, , , ,594 Broadway Street,Unit 1, ,Tillsonburg,N4G3S8, ,2.02E+13
-79.54278384,43.7505635,1037,127906936,6934,Pharmacy,RP,Terrace Square Pharmacy, , , ,3424 Weston Road, , ,Toronto,M9M2W1, ,2.02E+13
-79.37063119,43.76919881,1038,127906937,6935,Pharmacy,RP,Roya Boutique Pharmacy, , , ,75 Provost Drive, , ,Toronto,M2K0B7, ,2.02E+13
-79.41096189,43.65602718,1039,127906938,6936,Pharmacy,RP,College Centre Pharmacy Ii, , , ,528 College Street, , ,Toronto,M6G1A6, ,2.02E+13
-77.89168567,44.43334459,1040,127906939,6938,Pharmacy,RP,Havelock Pharmacy, , , ,44 Ottawa Street West,Postal Office Box 570, ,Havelock,K0L1Z0, ,2.02E+13
-75.71036223,45.33103774,1042,127906941,6941,Pharmacy,RP,National Pharmacy, , , ,52 Antares Drive,Unit 7, ,Ottawa,K2E7Z1, ,2.02E+13
-80.20289252,44.49774729,1043,127906942,6945,Pharmacy,RP,Pharmasave Mary's Pharmacy, , , ,460 Hume Street,Unit 6, ,Collingwood,L9Y1W6, ,2.02E+13
-88.91423968,48.5436936,1044,127906943,6951,Pharmacy,RP,White Cedar Pharmacy, , , ,2001 Lakeshore Drive, , ,Shuniah,P7A0L4, ,2.02E+13
-79.46318666,44.21425988,1045,127906944,6953,Pharmacy,RP,Glenwoods Ida Pharmacy, , , ,443 The Queensway South,Unit 5, ,Georgina,L4P3J4, ,2.02E+13
-79.44010532,43.88039502,1046,127906945,6956,Pharmacy,RP,Dara Pharmacy, , , ,10376 Yonge Street,Unit 107, ,Richmond Hill,L4C3B8, ,2.02E+13
-79.56542345,43.71106329,1047,127906946,6957,Pharmacy,RP,Shoppers Drug Mart #857, , , ,123 Rexdale Boulevard, , ,Toronto,M9W1P1, ,2.02E+13
-74.98845837,44.99700321,1048,127906947,6959,Pharmacy,RP,Ingleside Ida Pharmacy, , , ,3 Thorold Lane, , ,Ingleside,K0C1M0, ,2.02E+13
-79.85864542,43.48877273,1049,127906948,6961,Pharmacy,RP,Sobeys Pharmacy #7272, , , ,1035 Bronte Street South, , ,Milton,L9T8X3, ,2.02E+13
-79.22901579,43.17179741,1050,127906949,6962,Pharmacy,RP,Niagara Health Centre Pharmacy, , , ,180 Vine Street South, , ,St. Catharines,L2R7P3, ,2.02E+13
-78.3103252,44.30594565,1051,127906950,6966,Pharmacy,RP,Sullivans Pharmacy, , , ,71 Hunter Street East, , ,Peterborough,K9H1G4, ,2.02E+13
-81.00635408,46.45234587,1053,127906952,6970,Pharmacy,RP,Food Basics Pharmacy #538, , , ,1875 Regent Street, , ,Greater Sudbury,P3E3Z7, ,2.02E+13
-80.27634082,43.13156525,1054,127906953,6972,Pharmacy,RP,Colborne Pharmacy & Medical Ct, , , ,164 Colborne Street West,Unit 2A, ,Brantford,N3T1L2, ,2.02E+13
-79.60517415,43.57335256,1056,127906955,6976,Pharmacy,RP,All Care Pharmacy, , , ,2233 Hurontario Street, , ,Mississauga,L5A2E9, ,2.02E+13
-79.34545558,43.77512321,1057,127906956,6977,Pharmacy,RP,Health Drug Mart, , , ,70 Forest Manor Road,Unit 4, ,Toronto,M2J0A9, ,2.02E+13
-82.96994427,42.14465005,1058,127906957,6980,Pharmacy,RP,Mcgregor Medical Pharmacy, , , ,9558 County Road 11,Unit 1, ,Amherstburg,N0R1J0, ,2.02E+13
-75.86652558,45.28271892,1060,127906959,6984,Pharmacy,RP,Drugstore Pharmacy #2813, , , ,760 Eagleson Road, , ,Ottawa,K2M0A7, ,2.02E+13
-80.68483465,48.75840245,1061,127906960,6985,Pharmacy,RP,Family Care Pharmacy, , , ,190 Main Street,Postal Office Box 1120, ,Iroquois Falls,P0K1G0, ,2.02E+13
-79.05556139,43.82557553,1062,127906961,6987,Pharmacy,RP,Lmp Advantage Care Pharmacy, , , ,1885 Clements Road,Unit 252, ,Pickering,L1W3V4, ,2.02E+13
-79.25806529,42.98298517,1063,127906962,6989,Pharmacy,RP,Mahdieh's Pharmacy, , , ,95 Lincoln Street,Unit 16, ,Welland,L3C7C3, ,2.02E+13
-80.99220598,46.49236078,1064,127906963,6996,Pharmacy,RP,Vitaheal Pharmacy, , , ,128 Cedar Street, , ,Greater Sudbury,P3E1B4, ,2.02E+13
-79.68559716,43.45713434,1065,127906964,6997,Pharmacy,RP,St. Mark's Pharmacy, , , ,586 Argus Road, , ,Oakville,L6J3J3, ,2.02E+13
-81.24280522,43.01273608,1067,127906966,7001,Pharmacy,RP,Shoppers Drug Mart #1080, , , ,1118 Adelaide Street North, , ,London,N5Y2N5, ,2.02E+13
-79.8537914,43.26097609,1068,127906967,7002,Pharmacy,RP,C and Dc Pharmacy, , , ,276 Barton Street East, , ,Hamilton,L8L2X3, ,2.02E+13
-75.66461773,45.43433636,1069,127906968,7007,Pharmacy,RP,Shoppers Drug Mart #1229, , , ,150 Montreal Road, , ,Ottawa,K1L8H2, ,2.02E+13
-79.57578034,43.59164687,1070,127906969,7009,Pharmacy,RP,Shoppers Drug Mart #507, , , ,1077 North Service Road, , ,Mississauga,L4Y1A6, ,2.02E+13
-79.60651697,43.8143246,1071,127906970,7011,Pharmacy,RP,Rutherford Guardian Drugs, , , ,5283 Rutherford Road,Unit 2, ,Vaughan,L4H2T2, ,2.02E+13
-79.43623671,43.7448495,1072,127906971,7012,Pharmacy,RP,York Downs Pharmacy, , , ,3910 Bathurst Street, , ,Toronto,M3H3N8, ,2.02E+13
-75.68902863,45.36946255,1073,127906972,7013,Pharmacy,RP,Medical Arts Dispensary of Ott, , , ,2865 Riverside Drive, , ,Ottawa,K1V8N5, ,2.02E+13
-79.851911,43.25057319,1074,127906973,7015,Pharmacy,RP,Main Health Pharmacy, , , ,460 Main Street East,Unit 102, ,Hamilton,L8N1K4, ,2.02E+13
-79.26832746,43.78699831,1075,127906974,7016,Pharmacy,RP,Agincourt Drug Mart, , , ,2020 Brimley Road, , ,Toronto,M1S4R7, ,2.02E+13
-75.89560699,45.29270403,1076,127906975,7018,Pharmacy,RP,Sobeys Pharmacy #7217, , , ,700 Terry Fox Drive, , ,Ottawa,K2L4H4, ,2.02E+13
-79.30661207,43.7137755,1077,127906976,7021,Pharmacy,RP,Theodore Pharmacy, , , ,1450 O'connor Drive, , ,Toronto,M4B2T8, ,2.02E+13
-80.98215971,42.77310235,1078,127906977,7023,Pharmacy,RP,Hills Pharmacy, , , ,35 Talbot Street East, , ,Aylmer,N5H1H3, ,2.02E+13
-75.70802674,45.41030775,1079,127906978,7025,Pharmacy,RP,Lyan Pharmacy, , , ,752 Somerset Street West,Unit A, ,Ottawa,K1R6P8, ,2.02E+13
-79.4260119,43.64258968,1080,127906979,7026,Pharmacy,RP,Health Care Mart, , , ,1173 Queen Street West, , ,Toronto,M6J1J4, ,2.02E+13
-80.92222096,43.5661249,1082,127906981,7032,Pharmacy,RP,Village Pharmacy, , , ,8 Main Street North, , ,Milverton,N0K1M0, ,2.02E+13
-78.72415399,44.92519604,1084,127906983,7042,Pharmacy,RP,Minden Pharmasave, , , ,110 Bobcaygeon Road,Postal Office Box 300, ,Minden,K0M2K0, ,2.02E+13
-79.85225679,43.19298238,1085,127906984,7047,Pharmacy,RP,Rymal Gage Pharmacy, , , ,905 Rymal Road East,Unit 153, ,Hamilton,L8W3M2, ,2.02E+13
-94.5220635,49.76561534,1086,127906985,7051,Pharmacy,RP,The Medicine Shoppe Phrmc 360, , , ,700 Lakeview Drive, , ,Kenora,P9N3P7, ,2.02E+13
-79.3910643,43.85475322,1087,127906986,7053,Pharmacy,RP,Pharmassist, , , ,55 West Beaver Creek Road,Unit 21, ,Richmond Hill,L4B1K5, ,2.02E+13
-79.759877,43.59741686,1088,127906987,7057,Pharmacy,RP,Millcreek Pharmacy, , , ,6981 Millcreek Drive,Unit 2, ,Mississauga,L5N1N3, ,2.02E+13
-79.89788571,43.25981549,1089,127906988,7060,Pharmacy,RP,Westdale Wellness Pharmacy, , , ,701 Main Street West, , ,Hamilton,L8P1H1, ,2.02E+13
-82.86759566,42.30648818,1090,127906989,7061,Pharmacy,RP,Sobeys Pharmacy #7216, , , ,19 Amy Croft Drive, , ,Windsor,N9K1C7, ,2.02E+13
-79.92914442,46.36657102,1091,127906990,10109,Pharmacy,RP,Rx Drug Mart #5010, , , ,228 King Street, , ,West Nipissing,P2B1R9, ,2.02E+13
-81.14774359,44.13283108,1093,127906992,10111,Pharmacy,RP,Brown's Guardian Pharmacy, , , ,331 Durham Street,Postal Office Box 969, ,Walkerton,N0G2V0, ,2.02E+13
-79.553978,44.3528478,1095,127906994,10115,Pharmacy,RP,Sandy Cove Drug Store, , , ,902 Lockhart Road,Unit 3, ,Innisfil,L9S4V2, ,2.02E+13
-79.62229585,43.57554476,1096,127906995,10116,Pharmacy,RP,Swiderski Pharmacy, , , ,3015 Parkerhill Road,Unit 1, ,Mississauga,L5B4B2, ,2.02E+13
-80.30094005,43.391308,1097,127906996,10119,Pharmacy,RP,Pharmasave Monarch Pharmacy, , , ,95 Saginaw Parkway,Unit 2A, ,Cambridge,N1T1W2, ,2.02E+13
-80.95972257,44.56674417,1099,127906998,10121,Pharmacy,RP,Owen Sound Ida Pharmacy, , , ,810 10th Street West,Unit 6, ,Owen Sound,N4K3S1, ,2.02E+13
-79.64051726,43.61602907,1100,127906999,10123,Pharmacy,RP,Allwell Pharmacy, , , ,4665 Central Parkway East,Unit 14, ,Mississauga,L4Z2V5, ,2.02E+13
-76.49576,44.24226992,1101,127907000,10124,Pharmacy,RP,Division Pharmacy, , , ,472 Division Street,Unit 2, ,Kingston,K7K4B1, ,2.02E+13
-79.44318851,43.67748279,1102,127907001,10125,Pharmacy,RP,Nova Pharmacy, , , ,1674 Dufferin Street, , ,Toronto,M6H3M1, ,2.02E+13
-79.60953765,43.57544026,1103,127907002,10126,Pharmacy,RP,Central All Care Pharmacy, , , ,2420 Hurontario Street, , ,Mississauga,L5B4A9, ,2.02E+13
-79.98496006,43.48783023,1104,127907003,10127,Pharmacy,RP,Campbellville Pharmacy, , , ,35 Crawford Crescent, , ,Milton,L0P1B0, ,2.02E+13
-79.45289664,44.04034925,1105,127907004,10128,Pharmacy,RP,Mulock Medical Pharmacy, , , ,16700 Bayview Avenue, , ,Newmarket,L3X1W1, ,2.02E+13
-79.46272961,43.66550968,1106,127907005,10131,Pharmacy,RP,Duke Pharmacy, , , ,2798 Dundas Street West, , ,Toronto,M6P1Y5, ,2.02E+13
-76.13583707,45.29555592,1107,127907006,10133,Pharmacy,RP,Respect Rx. Ottawa West, , , ,2006 Robinson Road,Unit 14, ,Ottawa,K2H1A5, ,2.02E+13
-79.83904059,43.19157648,1108,127907007,10136,Pharmacy,RP,Hamilton Compounding Pharmacy, , , ,260 Nebo Road,Level 2, ,Hamilton,L8W3K5, ,2.02E+13
-75.3722924,45.08750941,1109,127907008,10137,Pharmacy,RP,Winchester Pharmasave, , , ,12015 Main Street West,Unit C, ,Winchester,K0C2K0, ,2.02E+13
-79.71657518,43.55796885,1110,127907009,10141,Pharmacy,RP,Mi Clinic Pharmacy, , , ,2690 Erin Centre Boulevard,Unit A005, ,Mississauga,L5M5P5, ,2.02E+13
-79.80579435,44.02358103,1111,127907010,10142,Pharmacy,RP,Queen Care Pharmacy, , , ,29 Queen Street North, , ,New Tecumseth,L0G1W0, ,2.02E+13
-79.21780624,43.74352761,1112,127907011,10144,Pharmacy,RP,Supercare Pharmacy, , , ,3208 Eglinton Avenue East, , ,Toronto,M1J2H6, ,2.02E+13
-79.87730041,43.24017399,1113,127907012,10146,Pharmacy,RP,Healthshare Medical Pharmacy, , , ,574 Upper James Street, , ,Hamilton,L9C2Y6, ,2.02E+13
-79.70241545,44.4060467,1114,127907013,10147,Pharmacy,RP,Cundles Pharmacy, , , ,18 Cundles Road East, , ,Barrie,L4M2Z5, ,2.02E+13
-79.82826514,43.75654858,1115,127907014,10148,Pharmacy,RP,Southfields Pharmasave Pharm, , , ,12531 Kennedy Road, , ,Caledon,L7C3T6, ,2.02E+13
-79.60644245,43.62473197,1117,127907016,10150,Pharmacy,RP,St Mary's Dixie Pharmacy, , , ,4120 Dixie Road,Unit 11, ,Mississauga,L4W4V8, ,2.02E+13
-78.61777387,43.97720518,1118,127907017,10151,Pharmacy,RP,Stutts Pharmacy, , , ,5344 Main Street,Postal Office Box 340, ,Orono,L0B1M0, ,2.02E+13
-79.60910585,43.58738936,1120,127907019,10153,Pharmacy,RP,Hanin Pharmacy Ltd, , , ,333 Dundas Street East,Unit 103, ,Mississauga,L5A1X1, ,2.02E+13
-79.29166688,43.89428763,1121,127907020,10154,Pharmacy,RP,Shoppers Drug Mart #1220, , , ,9620 Mccowan Road,R.R. 1, ,Markham,L3P8M1, ,2.02E+13
-79.74905659,43.57604485,1122,127907021,10156,Pharmacy,RP,Windwood Pharmacy, , , ,3080 Windwood Drive,Unit 6, ,Mississauga,L5N2K5, ,2.02E+13
-80.98266687,43.37044506,1124,127907023,10158,Pharmacy,RP,Sinclair Pharmacy, , , ,12 Wellington Street, , ,Stratford,N5A7V4, ,2.02E+13
-79.69570578,43.58716326,1125,127907024,10159,Pharmacy,RP,Shoppers Drug Mart #791, , , ,5425 Creditview Road,Unit 1, ,Mississauga,L5V2P3, ,2.02E+13
-79.66016576,43.47879864,1126,127907025,10160,Pharmacy,RP,Cornwall Medical Pharmacy, , , ,1525 Cornwall Road,Unit 18, ,Oakville,L6J0B2, ,2.02E+13
-75.08720433,45.31366506,1127,127907026,10161,Pharmacy,RP,Pharmasave Casselman Pharmacy, , , ,732 Principale Street,Suite ET, ,Casselman,K0A1M0, ,2.02E+13
-75.72515025,45.40381045,1128,127907027,10162,Pharmacy,RP,Victoria Pharmacy, , , ,1065 Wellington Street,Unit B, ,Ottawa,K1Y2Y2, ,2.02E+13
