name,street,city,province,postal,Public Health Unit,X,Y,date
Loblaw Pharmacy,1792 Liverpool Road,Pickering,Ontario,L1V 1V9,Durham Region Health Department,43.8323974,-79.09116,2022-04-03
Loblaw Pharmacy,20 Jocelyn Street,Port Hope,Ontario,L1A 3V7,"Haliburton, Kawartha, Pine Ridge District Health Unit",43.9605369,-78.3206547,2022-04-04
Loblaw Pharmacy,301 High Tech Road,Richmond Hill,Ontario,L4B 4R2,York Region Public Health Services,43.8437237,-79.4109982,2022-04-05
Loblaw Pharmacy,600 Murphy Road,Sarnia,Ontario,N7S 2X1,Lambton Health Unit,42.9774048,-82.3658701,2022-04-06
Loblaw Pharmacy,"44 Great Northern Road, Unit 50",Sault Ste Marie,Ontario,P6B 4Y5,Algoma,46.5250988,-84.3193926,2022-04-07
Loblaw Pharmacy,221 Glendale Avenue,St. Catharines,Ontario,L2T 2K9,Niagara Region Public Health Department,43.1360847,-79.2240958,2022-04-08
Loblaw Pharmacy,102 Highway 8,Stoney Creek,Ontario,L8G 4H3,Hamilton Public Health Services,43.224224,-79.748583,2022-04-09
Loblaw Pharmacy,626 Victoria Street,Strathroy,Ontario,N7G 3C1,Middlesex-London Health Unit,42.9668463,-81.6313682,2022-04-10
Loblaw Pharmacy,12035 Highway 17,Sturgeon Falls,Ontario,P2B 2S6,North Bay-Parry Sound District Health Unit,46.3667275,-79.9081968,2022-04-11
Loblaw Pharmacy,585 Queen Street West,Toronto,Ontario,M5V 2B7,Toronto Public Health,43.6473554,-79.4016963,2022-04-12
Loblaw Pharmacy,51 Gerry Fitzgerald Drive,Toronto,Ontario,M3J 3N4,Toronto Public Health,43.7847425,-79.4716943,2022-04-13
Loblaw Pharmacy,450 Erb Street West,Waterloo,Ontario,N2T 1H4,"Region of Waterloo, Public Health",43.4531788,-80.5553033,2022-04-14
Loblaw Pharmacy,821 Niagara Street North,Welland,Ontario,L3C 1M4,Niagara Region Public Health Department,43.0171463,-79.2516344,2022-04-15
Loblaw Pharmacy,200 Taunton Road West,Whitby,Ontario,L1R 3H8,,43.9160549,-78.9618758,2022-04-16
Loblaw Pharmcy,3045 Mavis Road,Mississauga,Ontario,L5C 1T7,Peel Public Health,43.5677449,-79.6335428,2022-04-17
Loblaws,380 The East Mall,Etobicoke,Ontario,M9B 6L5,Toronto Public Health,43.643878,-79.5601684,2022-04-18
Loblaws,3671 Dundas Street West,Etobicoke,Ontario,M6S 2T3,Toronto Public Health,43.6654493,-79.4957853,2022-04-19
Loblaws,1048 Midland Avenue,Kingston,Ontario,K7P 2X9,"Kingston, Frontenac and Lennox & Addington Health Unit",44.2610102,-76.5722326,2022-04-20
Loblaws,1100 Princess Street,Kingston,Ontario,K7L 5G8,"Kingston, Frontenac and Lennox & Addington Health Unit",44.2428429,-76.5185193,2022-04-21
Loblaws,5095 Yonge Street East,Toronto,Ontario,M2M 3V7,Toronto Public Health,43.7687022,-79.4123463,2022-04-22
Loblaws,396 St. Clair Avenue West,Toronto,Ontario,M5P 3N3,Toronto Public Health,43.6841477,-79.4153394,2022-04-23
Loblaws,10 Lower Jarvis Street,Toronto,Ontario,M5E 1Z2,Toronto Public Health,43.6447705,-79.3701389,2022-04-24
Loblaws,2877 Bayview Avenue,Toronto,Ontario,M2K 2S3,Toronto Public Health,43.76875,-79.387239,2022-04-25
Loblaws,2280 Dundas Street West,Toronto,Ontario,M6R1X4,Toronto Public Health,43.6556207,-79.4498001,2022-04-26
Loblaws,11 Redway Road,Toronto,Ontario,M4H 1P6,Toronto Public Health,43.6990972,-79.3597232,2022-04-27
Loblaws,60 Carlton Street,Toronto,Ontario,M5B 1L1,Toronto Public Health,43.6621911,-79.3802435,2022-04-28
Loblaws,17 Leslie Street,Toronto,Ontario,M4M 3H9,Toronto Public Health,43.6608701,-79.3284242,2022-04-29
Loblaws,50 Musgrave Street,Toronto,Ontario,M4E 3W2,Toronto Public Health,43.6885028,-79.2882397,2022-04-30
Lovell Drugs,166 Brock Street,Kingston,Ontario,K7L 3E2,"Kingston, Frontenac and Lennox & Addington Health Unit",44.2308559,-76.4859204,2022-05-01
Lovell Drugs,8 King Street East,Oshawa,Ontario,L1H 1A9,Durham Region Health Department,43.897857,-78.863319,2022-05-02
Lovell Drugs,"617 Victoria Street West, Unit 9",Whitby,Ontario,L1N 0E4,Durham Region Health Department,43.8585144,-78.9453087,2022-05-03
Lovell Drugs Ltd.,500 Rossland Road West,Oshawa,Ontario,L1J 3H2,Durham Region Health Department,43.9114887,-78.8903642,2022-05-04
Lovell Drugs Whitby,600 Grandview Street South,Oshawa,Ontario,L1H 8P4,Durham Region Health Department,43.8906919,-78.8153458,2022-05-05
Lucknow Pharmasave,622 Campbell Street,Lucknow,Ontario,N0G 2H0,Grey-Bruce Health Unit,43.9611,-81.5163966,2022-05-06
MacLaren Pharmacy,79 Bridge Street East,Campbellford,Ontario,K0L 1L0,"Haliburton, Kawartha, Pine Ridge District Health Unit",44.3078176,-77.7959602,2022-05-07
Mactavish Pharmacy,480 St. George Street,Dresden,Ontario,N0P 1M0,Chatham-Kent Health Unit,42.5901544,-82.1797332,2022-05-08
Main Drug Mart,"1646 Victoria Park Avenue, Unit 7",Toronto,Ontario,M1R 1P7,,43.7309565,-79.3057989,2022-05-09
Marchese Pharmacy,316 James Street North,Hamilton,Ontario,L8L 1H2,Hamilton Public Health Services,43.2642759,-79.8653946,2022-05-10
Markdale Pharmacy,29 Toronto Street North,Markdale,Ontario,N0C 1H0,Grey-Bruce Health Unit,44.3194434,-80.648711,2022-05-11
Markham Corners Pharmacy,5113 Sheppard Avenue East,Scarborough,Ontario,M1S 4N8,Toronto Public Health,43.79257,-79.2391289,2022-05-12
Markham Healthplex Pharmacy,"5995 14th Avenue, Unit A2B",Markham,Ontario,L3S 0A2,,43.8547149,-79.2575368,2022-05-13
Markland Wood Pharmacy,4335 Bloor Street West,Toronto,Ontario,M9C 2A5,Toronto Public Health,43.6308387,-79.5757084,2022-05-14
Mcintyre Pharmacy,238 Main Street,Parkhill,Ontario,N0M 2K0,,43.1631825,-81.6836802,2022-05-15
Mckechnie Pharmacy,1201 Queen Street,Kincardine,Ontario,N2Z 3C1,,44.1859537,-81.6280063,2022-05-16
Meadowvale Pharmacy,"6750 Winston Churchill Boulevard, Unit 9A",Mississauga,Ontario,L5N 4C4,Peel Public Health,43.5827346,-79.7651334,2022-05-17
Med Health Pharmacy,614 Coronation Boulevard,Cambridge,Ontario,N1R 3E8,,43.376365,-80.3245312,2022-05-18
Med+ Pharmacy,277 Bath Road,Kingston,Ontario,K7M 2X6,"Kingston, Frontenac and Lennox & Addington Health Unit",44.2402229,-76.5251988,2022-05-19
Medbrands IDA Pharmacy,"53 Woodbridge Avenue, Unit 1",Woodbridge,Ontario,L4L 9K9,York Region Public Health Services,43.7857104,-79.5902287,2022-05-20
Medica Pharmacy,1210 Erie Street East,Windsor,Ontario,N9A 3Z5,Windsor-Essex County Health Unit,42.3152062,-83.016814,2022-05-21
Medical Arts Pharmacy,800 Princess Street,Kingston,Ontario,K7L 5E4,"Kingston, Frontenac and Lennox & Addington Health Unit",44.2389873,-76.5072859,2022-05-22
Medical Pharmacy,"1333 Neilson Road, Unit 110",Scarborough,Ontario,M1B 4Y9,Toronto Public Health,43.8084303,-79.2196494,2022-05-23
Medical Pharmacy,320 Byron Street South,Whitby,Ontario,L1N 4P8,,43.8768077,-78.9425026,2022-05-24
Medical Tree,"795 Gardiners Road, Unit 6",Kingston,Ontario,K7M 7E6,"Kingston, Frontenac and Lennox & Addington Health Unit",44.2511182,-76.5690727,2022-05-25
Medpoint Care Pharmacy,"355 Wellington Street, Unit 169",London,Ontario,N6A 3N7,Middlesex-London Health Unit,42.9840053,-81.2456735,2022-05-26
Medtrust Pharmacy Pharmasave,"280 Guelph Street, Unit 23",Georgetown,Ontario,L7G 4B1,Halton Region Health Department,43.6486711,-79.8983397,2022-05-27
Merrickville Drug Mart,112 Wellington Street East,Merrickville,Ontario,K0G 1N0,"Leeds,Grenville, and Lanark District Health Unit",44.9153344,-75.8355991,2022-05-28
Metro Drugs,129 Dundas Street East,Toronto,Ontario,M5B 2N6,Toronto Public Health,43.6565539,-79.3761617,2022-05-29
Metro Pharmacy,110 North Front Street,Belleville,Ontario,K8P 3B6,Hastings and Prince Edward Counties Health Unit,44.1761734,-77.3910988,2022-05-30
Metro Pharmacy,243 King Street East,Bowmanville,Ontario,L1C 3X1,Durham Region Health Department,43.9111271,-78.6733799,2022-05-31
Metro Pharmacy,20 Great Lakes Drive,Brampton,Ontario,L6R 2K7,Peel Public Health,43.7311192,-79.7625929,2022-06-01
Metro Pharmacy,25 Peel Centre Drive,Brampton,Ontario,L6T 3R5,Peel Public Health,43.7154601,-79.7216982,2022-06-02
Metro Pharmacy,2010 Appleby Line,Burlington,Ontario,L7L 6M6,Halton Region Health Department,43.3922581,-79.7937754,2022-06-03
Metro Pharmacy,367 Mountainview Road South,Georgetown,Ontario,L7G 5X3,Halton Region Health Department,43.632499,-79.8771354,2022-06-04
Metro Pharmacy,1161 Barton Street East,Hamilton,Ontario,L8H 2V2,Hamilton Public Health Services,43.2532844,-79.8126022,2022-06-05
Metro Pharmacy,1050 Kennedy Circle,Milton,Ontario,L9T 0J9,Halton Region Health Department,43.5082098,-79.8368761,2022-06-06
Metro Pharmacy,910 Southdown Road,Mississauga,Ontario,L5G 2Y4,Peel Public Health,43.5082303,-79.6302953,2022-06-07
Metro Pharmacy,2225 Erin Mills Parkway,Mississauga,Ontario,L5K 1T9,Peel Public Health,43.5307487,-79.6533683,2022-06-08
Metro Pharmacy,3221 Derry Road West,Mississauga,Ontario,L5N 7L7,Peel Public Health,43.5837857,-79.7784483,2022-06-09
Metro Pharmacy,1111 Davis Drive,Newmarket,Ontario,L3Y 8X2,York Region Public Health Services,44.0680634,-79.4306535,2022-06-10
Metro Pharmacy,"280 North Service Road, Unit 1A",Oakville,Ontario,L6M 2S2,Halton Region Health Department,43.4472708,-79.7053674,2022-06-11
Metro Pharmacy,1011 Upper Middle Road East,Oakville,Ontario,L6H 4L2,Halton Region Health Department,43.483727,-79.6945815,2022-06-12
Metro Pharmacy,4510 Innes Road,Ottawa,Ontario,K4A 4C5,Ottawa Public Health,45.4613368,-75.4841125,2022-06-13
Metro Pharmacy,5612 Main Street,Stouffville,Ontario,L4A 8B7,York Region Public Health Services,43.9670267,-79.2685477,2022-06-14
Metro Pharmacy,3003 Danforth Avenue,Toronto,Ontario,M4C 1M9,Toronto Public Health,43.6896746,-79.2906481,2022-06-15
Metro Pharmacy,53 Quinte Street,Trenton,Ontario,K8V 3S8,Hastings and Prince Edward Counties Health Unit,44.0982639,-77.5767169,2022-06-16
Midha Pharmacy Inc,"15 Fandor Way, Unit 1A",Brampton,Ontario,L7A 4S2,Peel Public Health,43.6900672,-79.81501,2022-06-17
Milford Pharmacy,728 Milford Drive,Kingston,Ontario,K7P 1C6,"Kingston, Frontenac and Lennox & Addington Health Unit",44.2484037,-76.5806125,2022-06-18
Millcroft Pharmacy,"2500 Appleby Line, Unit D10",Burlington,Ontario,L7L 0A2,Halton Region Health Department,43.4051209,-79.8074362,2022-06-19
Miltowne Pharmacy,"311 Commercial Street, Unit 210",Milton,Ontario,L9T 3Z9,Halton Region Health Department,43.5095219,-79.8721649,2022-06-20
Mooney's Bay Pharmacy,743 Ridgewood Avenue,Ottawa,Ontario,K1V 6M8,Ottawa Public Health,45.368436,-75.6877711,2022-06-21
Morelli's Pharmacy,98 Copper Creek Drive,Markham,Ontario,L6B 0P2,York Region Public Health Services,43.8684083,-79.2298105,2022-06-22
Morelli's Pharmacy,15 York Street,Toronto,Ontario,M5J 0A3,Toronto Public Health,43.6421609,-79.3806942,2022-06-23
Mortar + Pestle Compounding Pharmacy,1997 Bloor Street West,Toronto,Ontario,M6S 1M4,Toronto Public Health,43.6521306,-79.4708218,2022-06-24
Mount Royal Pharmacy Ltd,2047 Mount Forest Drive,Burlington,Ontario,L7P 1H4,Halton Region Health Department,43.3478591,-79.8276008,2022-06-25
Mountainside Pharmacy,1900 Walkers Line,Burlington,Ontario,L7M 4W5,Halton Region Health Department,43.3783041,-79.8062103,2022-06-26
Mountainview Guardian Pharmacy,"378 Mountainview Road South, Unit 11",Georgetown,Ontario,L7G 0L5,Halton Region Health Department,43.6296592,-79.8771522,2022-06-27
Mulock Medical Pharmacy,16700 Bayview Avenue,Newmarket,Ontario,L3X 1W1,,44.0403492,-79.4528966,2022-06-28
Neighborhood Drug Store,439 Wyandotte Street East,Windsor,Ontario,N9A 3H8,,42.3161722,-83.0304733,2022-06-29
Neighbourhood Pharmacy,10323 Yonge Street,Richmond Hill,Ontario,L4C 3C1,York Region Public Health Services,43.8792224,-79.4386106,2022-06-30
New Caledonia Pharmacy,600 Caledonia Road,Toronto,Ontario,M6E 4V5,,43.6933118,-79.4623036,2022-07-01
New Care Pharmacy,17730 Leslie Street,Newmarket,Ontario,L3Y 3E4,York Region Public Health Services,44.0713321,-79.4341705,2022-07-02
Newmarket Pharmacy,"130 Davis Drive, Unit 24",Newmarket,Ontario,L3Y 2N1,York Region Public Health Services,44.0553217,-79.473904,2022-07-03
Nhatrang Drug Mart,736 Wilson Avenue,Toronto,Ontario,M3K 1E2,,43.7315528,-79.4639921,2022-07-04
Nickle's Pharmacy,26 Forsyth Street,Marmora,Ontario,K0K 2M0,Hastings and Prince Edward Counties Health Unit,44.4832882,-77.6822609,2022-07-05
NKS Health,"130 Dundas Street East, Unit 500",Mississauga,Ontario,L5A 3V8,Peel Public Health,43.5829407,-79.6124406,2022-07-06
Nobleton Guardian Pharmacy,12931 Highway 27,Nobleton,Ontario,L0G 1N0,,43.9000046,-79.6520436,2022-07-07
Nofrills,1162 Division Street,Kingston,Ontario,K7K 0C3,"Kingston, Frontenac and Lennox & Addington Health Unit",44.2644334,-76.5002823,2022-07-08
Nofrills,1030 Coverdale Drive,Kingston,Ontario,K7M 8X7,"Kingston, Frontenac and Lennox & Addington Health Unit",44.2378882,-76.5919508,2022-07-09
Nofrills,450 Centre Street North,Napanee,Ontario,K7R 1P8,"Kingston, Frontenac and Lennox & Addington Health Unit",44.2586876,-76.9626492,2022-07-10
Nofrills,6220 Yonge Street,North York,Ontario,M2M 3X4,Toronto Public Health,43.7947029,-79.4216736,2022-07-11
Nofrills,1450 Lawrence Avenue East,Scarborough,Ontario,M4A 2S8,Toronto Public Health,43.7424568,-79.3108174,2022-07-12
Nofrills,3401 Lawrence Avenue East,Scarborough,Ontario,M1H 1B2,Toronto Public Health,43.7575482,-79.2304055,2022-07-13
Nofrills,681 Silver Star Boulevard,Scarborough,Ontario,M1V 5N1,Toronto Public Health,43.8238401,-79.2988429,2022-07-14
Nofrills,222 Lansdowne Avenue,Toronto,Ontario,M6K 3C6,Toronto Public Health,43.649696,-79.4403251,2022-07-15
Nofrills,449 Carlaw Avenue,Toronto,Ontario,M4K 3H9,Toronto Public Health,43.6688158,-79.3419791,2022-07-16
Nofrills,200 Front Street East,Toronto,Ontario,M5A 4T9,Toronto Public Health,43.6514188,-79.3659472,2022-07-17
Nofrills,1020 Islington Avenue,Toronto,Ontario,M8Z 4R3,Toronto Public Health,43.6313497,-79.5192425,2022-07-18
NoFrills Pharmacy,657 John Street,Aylmer,Ontario,N5H 3J1,Southwestern Public Health,42.7854236,-80.9821054,2022-07-19
NoFrills Pharmacy,1226 Orleans Place Drive,Gloucester,Ontario,K1C 1L2,Ottawa Public Health,45.4764991,-75.5228439,2022-07-20
NoFrills Pharmacy,7075 Markham Road,Markham,Ontario,L3S 3J9,York Region Public Health Services,43.8387383,-79.2502248,2022-07-21
NoFrills Pharmacy,620 Eglinton Avenue West,Mississauga,Ontario,L5R 3V2,Peel Public Health,43.5934895,-79.6672306,2022-07-22
NoFrills Pharmacy,13311 Loyalist Parkway,Picton,Ontario,K0K 2T0,Hastings and Prince Edward Counties Health Unit,43.999226,-77.1610985,2022-07-23
NoFrills Pharmacy,680 O'Brien Road,Renfrew,Ontario,K7V 3Z4,Renfrew County and District Health Unit,45.4765018,-76.6600707,2022-07-24
Nor-Arm Pharmacy,"1280 Finch Avenue West, Unit 107",Toronto,Ontario,M3J 3K6,Toronto Public Health,43.7644571,-79.4887924,2022-07-25
North Gower Pharmacy,"2333 Church Street, Unit 7",North Gower,Ontario,K0A 2T0,Ottawa Public Health,45.1308173,-75.7162208,2022-07-26
North Hastings Family Pharmacy,217 Hastings Street North,Bancroft,Ontario,K0L 1C0,Hastings and Prince Edward Counties Health Unit,45.0686492,-77.8619824,2022-07-27
Northcliffe Pharmacy,1751 Eglinton Avenue West,Toronto,Ontario,M6E 2H7,Toronto Public Health,43.6960021,-79.4478439,2022-07-28
Northern Shores Pharmacy,10 Maplewood Avenue,North Bay,Ontario,P1B 5H2,North Bay-Parry Sound District Health Unit,46.3284061,-79.4648935,2022-07-29
Novacare Pharmacy,1275 Walker Road,Windsor,Ontario,N8Y 4X9,Windsor-Essex County Health Unit,42.3138143,-83.0024803,2022-07-30
Oak Medical Pharmacy,620 Arthur Street West,Thunder Bay,Ontario,P7E 5R8,Thunder Bay,48.3800648,-89.2960696,2022-07-31
One Eva Pharmacy,1 Eva Road,Etobicoke,Ontario,M9C 4Z5,Toronto Public Health,43.6390931,-79.5621878,2022-08-01
Origins Pharmacy Milton,"725 Bronte Street South, Units 2 & 3",Milton,Ontario,L9T 9K1,Halton Region Health Department,43.4971481,-79.868498,2022-08-02
Orton Park Guardian Pharmacy,136 Orton Park Road,Scarborough,Ontario,M1G 3H1,Toronto Public Health,43.7716344,-79.2092939,2022-08-03
Osgoode Pharmacy,3192 Logan Farm Drive,Osgoode,Ontario,K0A 2W0,Ottawa Public Health,45.1494697,-75.6029765,2022-08-04
Oshawa Discount Pharmacy,"44 Simcoe Street North, Unit 2",Oshawa,Ontario,L1G 4S1,,43.8987322,-78.8643993,2022-08-05
Oshawa Lakeview Pharmacy,"799 Park Road South, Unit 5",Oshawa,Ontario,L1J 4K1,Durham Region Health Department,43.8741893,-78.8633005,2022-08-06
Pakenham Pharmacy,2547 County Road 29,Pakenham,Ontario,K0A 2X0,"Leeds,Grenville, and Lanark District Health Unit",45.332737,-76.2906306,2022-08-07
Palermo Pharmacy,2525 Old Bronte Road,Oakville,Ontario,L6M 4J2,Halton Region Health Department,43.4350127,-79.7748351,2022-08-08
Paramount Pharmasave,"1795 Stone Church Road East, Unit 5001",Stoney Creek,Ontario,L8J 0B4,Hamilton Public Health Services,43.1929152,-79.8105008,2022-08-09
Parkedale Pharmacy,2235 Parkedale Avenue,Brockville,Ontario,K6V 6B2,"Leeds,Grenville, and Lanark District Health Unit",44.6072829,-75.6930882,2022-08-10
Paul's Pharmasave,990 River Road,Manotick,Ontario,K4M 1B9,Ottawa Public Health,45.2339852,-75.6774721,2022-08-11
Peace Medical Pharmacy,"9699 Jane Street, Unit 19",Vaughan,Ontario,L6A 0A4,York Region Public Health Services,43.8452048,-79.5351891,2022-08-12
Pellow Pharmasave,232 Durham Street East,Walkerton,Ontario,N0G 2V0,Grey-Bruce Health Unit,44.1334975,-81.1489714,2022-08-13
People's Choice Drug Mart,"1755 Pickering Parkway, Unit A2",Pickering,Ontario,L1V 6K5,Durham Region Health Department,43.8420252,-79.0669772,2022-08-14
People's Choice Remedy's Rx,"1145 Morningside Avenue, Unit 16",Scarborough,Ontario,M1B 0A7,Toronto Public Health,43.8013095,-79.1984082,2022-08-15
People's Pharmachoice,"30 Rymal Road East, Unit 4",Hamilton,Ontario,L9B 1T7,Hamilton Public Health Services,43.2016524,-79.8915437,2022-08-16
Perth Downtown Pharmasave,57 Foster Street,Perth,Ontario,K7H 1R9,"Leeds,Grenville, and Lanark District Health Unit",44.901023,-76.251964,2022-08-17
Perth Mews Pharmacy,"80 Dufferin Street, Unit 095",Perth,Ontario,K7H 3A7,"Leeds,Grenville, and Lanark District Health Unit",44.9076224,-76.2649133,2022-08-18
Peters Drugs PharmaChoice,640 King Street West,Kingston,Ontario,K7M 2E5,"Kingston, Frontenac and Lennox & Addington Health Unit",44.2207463,-76.5175753,2022-08-19
Phaily Guardian Pharmacy,"1477 Bayly Street, Unit 9A",Pickering,Ontario,L1W 3R5,Durham Region Health Department,43.8303255,-79.0777013,2022-08-20
Phamily Pharmacy,98 Weber Street North,Waterloo,Ontario,N2J 3G8,"Region of Waterloo, Public Health",43.471737,-80.513319,2022-08-21
Pharma Plus,67 Kingston Street,Goderich,Ontario,N7A 3K3,Huron Perth Health Unit,43.7416235,-81.7086478,2022-08-22
Pharma Plus,401 Kent Street West,Lindsay,Ontario,K9V 4Z1,"Haliburton, Kawartha, Pine Ridge District Health Unit",44.3485817,-78.7602225,2022-08-23
Pharma Plus,97 Main Street,Picton,Ontario,K0K 2T0,Hastings and Prince Edward Counties Health Unit,44.0058423,-77.1469443,2022-08-24
Pharma Trust Drug Mart,1935 Sheppard Avenue West,Downsview,Ontario,M3L 1Y8,,43.7395064,-79.5118365,2022-08-25
Pharma Well Drugmart,"106 Drynan Way, Unit 4",Seeley's Bay,Ontario,K0H 2N0,,44.4751809,-76.2367919,2022-08-26
Pharma Xpress,161 Bridge Street West,Belleville,Ontario,K8P 1K2,Hastings and Prince Edward Counties Health Unit,44.1598135,-77.3966767,2022-08-27
Pharmacare Drug Mart,891 Broadview Avenue,Toronto,Ontario,M4K 2P9,Toronto Public Health,43.680721,-79.3576452,2022-08-28
Pharmacare Medical Group,"13311 Yonge Street, Unit 107",Richmond Hill,Ontario,L4E 3L6,York Region Public Health Services,43.9523231,-79.4553422,2022-08-29
Pharmacie Jean Coutu,80 Main Street East,Hawkesbury,Ontario,K6A 1A3,,45.609338,-74.611644,2022-08-30
Pharmacie Medici Pharmacy,"1200 Colonial Road, Unit 100",Navan,Ontario,K4B 1J5,,45.4212821,-75.4266411,2022-08-31
Pharmacy 101,464 Division Street,Cobourg,Ontario,K9A 3S2,"Haliburton, Kawartha, Pine Ridge District Health Unit",43.9658262,-78.1675736,2022-09-01
Pharmacy Associates Of Port Perry,"11 Water Street, Unit B",Port Perry,Ontario,L9L 1H9,Durham Region Health Department,44.1016525,-78.9389671,2022-09-02
Pharmagreen Pharmacy,"10 Greensborough Village Circle, Unit 11",Markham,Ontario,L6E 1M4,York Region Public Health Services,43.9030369,-79.2498305,2022-09-03
Pharmalink IDA Phamracy,"456 Holland Street West, Unit 2",Bradford,Ontario,L3Z 0G1,Simcoe Muskoka District Health Unit,44.108581,-79.5864844,2022-09-04
Pharmasave,"305 Barrie Street, Unit 6A",Bradford,Ontario,L3Z 2B1,Simcoe Muskoka District Health Unit,44.1260137,-79.5667534,2022-09-05
Pharmasave,"15955 Airport Road, Unit 102",Caledon,Ontario,L7C 1H9,Peel Public Health,43.8692929,-79.8657338,2022-09-06
Pharmasave,"105 King Street West, Unit B",Dundas,Ontario,L9H 1V1,Hamilton Public Health Services,43.2668435,-79.9581774,2022-09-07
Pharmasave,1144 Courtland Avenue East,Kitchener,Ontario,N2C 2H5,"Region of Waterloo, Public Health",43.421948,-80.4601167,2022-09-08
Pharmasave,77 Anishnabeg Drive,Muncey,Ontario,N0L 1Y0,Middlesex-London Health Unit,42.8090362,-81.5364685,2022-09-09
Pharmasave,3485 Kingston Road,Toronto,Ontario,M1M 1R4,,43.7375271,-79.2173581,2022-09-10
Pharmasave - Spadina's Neighbourhood Pharmacy,"720 Spadina Avenue, Unit 100",Toronto,Ontario,M5S 2T9,Toronto Public Health,43.6653855,-79.4034771,2022-09-11
Pharmasave Aurora,"126 Wellington Street West, Unit 105",Aurora,Ontario,L4G 2N9,York Region Public Health Services,43.9988029,-79.474695,2022-09-12
Pharmasave Bovaird Spingdale,"2250 Bovaird Drive, Unit 101 & 102",Brampton,Ontario,L6R 0W3,Peel Public Health,43.7508309,-79.7393303,2022-09-13
Pharmasave Cedarcourt Pharmacy,3480 Lawrence Avenue East,Scarborough,Ontario,M1H 1A9,Toronto Public Health,43.7597868,-79.2270078,2022-09-14
Pharmasave Cityview Pharmacy,"551 Cityview Boulevard, Unit 15-16",Woodbridge,Ontario,L4H 0Z4,York Region Public Health Services,43.8607198,-79.5541097,2022-09-15
Pharmasave Cyril Pharmacy,1795 Kilborn Avenue,Ottawa,Ontario,K1H 6N1,Ottawa Public Health,45.3880923,-75.6450713,2022-09-16
Pharmasave Eagle Manor,1901 Weston Road,Toronto,Ontario,M9N 3P5,Toronto Public Health,43.7005399,-79.5161679,2022-09-17
Pharmasave Elgin Mall,"417 Wellington Street, Unit 109",St. Thomas,Ontario,N5R 5J5,Southwestern Public Health,42.7748897,-81.1648766,2022-09-18
Pharmasave Erin Creek Pharmacy,6400 Millcreek Drive,Mississauga,Ontario,L5N 3E7,Peel Public Health,43.5886613,-79.7402504,2022-09-19
Pharmasave Fort Frances,140 Scott Street,Fort Frances,Ontario,P9A 1G6,,48.6102783,-93.3989687,2022-09-20
Pharmasave Keele and Finch Pharmacy,1275 Finch Avenue West,Toronto,Ontario,M3J 2G5,Toronto Public Health,43.7639352,-79.4875255,2022-09-21
Pharmasave Loyalist Pharmacy,200 Speers Boulevard,Amherstview,Ontario,K7N 1Y7,"Kingston, Frontenac and Lennox & Addington Health Unit",44.2240643,-76.6631081,2022-09-22
Pharmasave Medicine Chest Pharmacy,"221 King Street East, Unit 2",Bowmanville,Ontario,L1C 1P7,Durham Region Health Department,43.9109605,-78.6772351,2022-09-23
Pharmasave Michael's Pharmacy,2 Main Street South,Bayfield,Ontario,N0M 1G0,Huron Perth Health Unit,43.5616145,-81.6959952,2022-09-24
Pharmasave Michael's Pharmacy,181 Cambria Road North,Goderich,Ontario,N7A 2R2,Huron Perth Health Unit,43.749359,-81.704906,2022-09-25
Pharmasave Sharbot Lake,1036 Elizabeth Street,Sharbot Lake,Ontario,K0H 2P0,"Kingston, Frontenac and Lennox & Addington Health Unit",44.7710742,-76.6905239,2022-09-26
Pharmasave Toronto East,"825 Coxwell Avenue, Unit C114",Toronto,Ontario,M4C 3E7,Toronto Public Health,43.6898713,-79.3248582,2022-09-27
Pharmasave Uxbridge Med Pharm,29 Toronto Street South Suite 1B,Uxbridge,Ontario,L9P 1V9,Durham Region Health Department,44.1077558,-79.1226591,2022-09-28
Plains Road West Pharmacy,29 Plains Road West,Burlington,Ontario,L7T 1E8,Halton Region Health Department,43.3062469,-79.8548605,2022-09-29
Pollard IDA Pharmacy,37 Seguin Street,Parry Sound,Ontario,P2A 1B2,North Bay-Parry Sound District Health Unit,45.3438317,-80.0348672,2022-09-30
Port Hope Pharmasave,60 Ontario Street,Port Hope,Ontario,L1A 2T8,"Haliburton, Kawartha, Pine Ridge District Health Unit",43.953895,-78.2942336,2022-10-01
Port Perry Remedy's Rx,1893 Scugog Street,Port Perry,Ontario,L9L 1H9,Durham Region Health Department,44.10349,-78.928124,2022-10-02
Potters Wheel Pharmacy,"10725 Mclaughlin Road, Unit 3",Brampton,Ontario,L7A 3E5,Peel Public Health,43.7102558,-79.8157516,2022-10-03
Premier Pharmacy and Compounding Centre,3323 Bathurst Street,Toronto,Ontario,M6A 2B7,Toronto Public Health,43.725378,-79.4309518,2022-10-04
Prescription Pharmacy,11 Gibb Street,Oshawa,Ontario,L1H 2J9,Durham Region Health Department,43.8900162,-78.8608237,2022-10-05
Preston Medical Pharmacy,125 Waterloo Street South,Cambridge,Ontario,N3H 1N3,"Region of Waterloo, Public Health",43.3967271,-80.3613628,2022-10-06
Prima Care Pharmacy,"9600 Islington Avenue, Unit 9",Woodbridge,Ontario,L4H 2T1,York Region Public Health Services,43.8245364,-79.6098518,2022-10-07
Pringle Creek Pharmasave,728 Anderson Street,Whitby,Ontario,L1N 3V6,Durham Region Health Department,43.8939316,-78.9278546,2022-10-08
