CFSAUID,PRUID,PRNAME,ices-covid-data_Public Health Unit,ices-covid-data_Start date of week,ices-covid-data_End date of week,ices-covid-data_Overall - % positivity,"ices-covid-data_Overall - number tested per 100,000 population",ices-covid-data_NON-LTC - % positivity,"ices-covid-data_NON-LTC - number tested per 100,000 population",data-pharmacy-counts_PRUID,data-pharmacy-counts_PRNAME,data-pharmacy-counts_all_pharmacies,data-pharmacy-counts_covid_vaccine_pharmacies,data-pharmacy-counts_covid_pharms,chosen%
E5J,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E5K,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E5L,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E5M,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E5N,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E5P,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E5R,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E5S,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E5T,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E5V,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E6A,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E6B,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E6C,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E6E,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E6G,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E6H,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E6J,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E6K,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E6L,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E7A,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E7B,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E7C,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E7E,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E7G,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E7H,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E7K,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E7L,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E7M,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E7N,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E7J,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E7P,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E8A,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E8B,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E8E,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E8G,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E8J,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E8K,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E8M,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E9A,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E8C,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E8L,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E8N,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E8P,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E8R,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E8S,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E8T,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E9B,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E9C,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E9E,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E9G,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
E9H,"13",New Brunswick / Nouveau-Brunswick,,,,,,,,"13",New Brunswick / Nouveau-Brunswick,"0","0",0.000,
G0A,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G1E,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G1G,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G1H,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G1J,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G1K,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G5C,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G5H,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G5R,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G5T,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G1L,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G1M,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G1N,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G1T,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G1V,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G1W,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G2E,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G2G,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G2J,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G1X,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G1Y,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G2A,"24",Quebec / Québec,,,,,,,,,,,,,
G2B,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G2C,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G6X,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G6Y,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G6Z,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G7A,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G2K,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G2L,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G2M,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G2N,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G3A,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G3B,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G3C,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G3E,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G3G,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G3H,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G3J,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G3K,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G3L,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G3M,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G3N,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G3Z,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G4A,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G4R,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G4S,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G4T,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G4V,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G4W,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G4X,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G4Z,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G5A,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G5B,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G5J,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G5L,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G5M,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G5N,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G5X,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G5Y,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G5Z,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G6A,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G6B,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G6E,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G6G,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G6H,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G6P,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G6R,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G6S,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G6T,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G6V,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G6C,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G6J,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G6K,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G6L,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G6W,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H1Z,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H2A,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H2B,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H2C,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H2E,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H2G,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H2H,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H2J,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G7B,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G7G,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G7H,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G7J,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G7Z,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G8A,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G8B,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G8C,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G8E,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G8G,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G7K,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G7N,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G7P,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G7S,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G7T,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G7X,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G7Y,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H3R,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H3S,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H3T,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H3V,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H3W,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H3X,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H3Y,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H3Z,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G8H,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G8J,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G8K,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G8L,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G8M,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G8N,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G8P,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G8T,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G8V,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G8W,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G8Y,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G8Z,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G9A,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G9B,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G9C,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G9H,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G9N,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G9P,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G9R,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G9T,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
G9X,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H0M,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H1A,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H1B,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H1C,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H1E,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H1G,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H1H,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H1J,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H1K,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H1L,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H1M,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H1N,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H1P,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H1R,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H1S,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H1T,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H1V,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H1W,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H1X,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H1Y,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H3P,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H2L,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H2M,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H2N,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H2P,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H2R,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H2S,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H2T,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H2V,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H2W,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H2X,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H2Y,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H2Z,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H3A,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H3B,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H3C,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H3E,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H8Z,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H9A,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H9B,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H9C,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H9E,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H9G,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H9H,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H3G,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H3H,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H3J,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H3K,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H3L,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H3M,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H3N,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H4A,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H4B,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H4C,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H4E,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H4G,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H4H,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H4P,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H4R,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H4S,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H4V,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H4J,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H4K,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H4L,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H4M,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H4N,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H2K,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
J1E,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
J1G,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H4W,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H4X,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H7A,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H7B,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H7C,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H7E,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H7G,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H7H,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H7J,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H7K,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H7L,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H7M,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H7N,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H7P,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H7R,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H7S,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H7T,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H7V,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H7W,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H7X,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H7Y,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H8N,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H8P,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H8R,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H8S,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H8T,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H8Y,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H9J,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H9K,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H9P,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H9R,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
H9S,"24",Quebec / Québec,,,,,,,,"24",Quebec / Québec,"0","0",0.000,
