location_code,name,city,street,X,Y,postal,fsa,type
-76.493897444.22932582Other/Independent,Drugsmart Pharmacy,Kingston,284 Earl St,-76.4938974,44.22932582,K7L2H8,K7L,Other/Independent
-76.4957644.24226992Other/Independent,Division Pharmacy,Kingston,472 Division St,-76.49576,44.24226992,K7K4B1,K7K,Other/Independent
-76.496590644.26574092Shoppers Drug Mart,Shoppers Drug Mart #604,Kingston,1201 Division St,-76.4965906,44.26574092,K7K6X4,K7K,Shoppers Drug Mart
-76.5002823144.26443342Loblaw,Loblaw Pharmacy,Kingston,1162 Division St,-76.50028231,44.26443342,K7K0C3,K7K,Loblaw
-76.5067772144.23941302Other/Independent,Frontenac Medical Pharmacy,Kingston,789 Princess St,-76.50677721,44.23941302,K7L1E9,K7L,Other/Independent
-76.5071202144.23948462Shoppers Drug Mart,Shoppers Drug Mart #1198,Kingston,797 Princess St,-76.50712021,44.23948462,K7L1G1,K7L,Shoppers Drug Mart
-76.5072859144.23898732Other/Independent,Bioscript Pharmacy Ltd.,Kingston,800 Princess St,-76.50728591,44.23898732,K7L1E4,K7L,Other/Independent
-76.5142772144.24365262Shoppers Drug Mart,Shoppers Drug Mart #1209,Kingston,1011 Princess St,-76.51427721,44.24365262,K7L1H3,K7L,Shoppers Drug Mart
-76.5156591144.24192762Rexall,Rexall Pharma Plus #1529,Kingston,1036 Princess St,-76.51565911,44.24192762,K7L1H2,K7L,Rexall
-76.5175753144.22074631Other/Independent,Peters Drugs Ltd,Kingston,640 King St W,-76.51757531,44.22074631,K7M2E5,K7M,Other/Independent
-76.5185193144.24284292Loblaw,Loblaw Pharmacy #1040,Kingston,1100 Princess St,-76.51851931,44.24284292,K7L5G8,K7L,Loblaw
-76.5215986144.25932242Other/Independent,Pharmacy Go - Kingston,Kingston,1479 John Counter Blvd,-76.52159861,44.25932242,K7M7J3,K7M,Other/Independent
-76.5238670144.22767511Other/Independent,Ongwanada Pharmacy,Kingston,191 Portsmouth Ave,-76.52386701,44.22767511,K7M8A6,K7M,Other/Independent
-76.5260744144.24029132Other/Independent,Med+ Pharmacy,Kingston,277 Bath Rd,-76.52607441,44.24029132,K7M2X6,K7M,Other/Independent
-76.5461821244.23952681Other/Independent,Food Basics Pharmacy #531,Kingston,1300 Bath Rd,-76.54618212,44.23952681,K7M4X4,K7M,Other/Independent
-76.5482342244.24527952Other/Independent,Graham's Kingsdale Pharmacy,Kingston,520 Kingsdale Ave,-76.54823422,44.24527952,K7M9B6,K7M,Other/Independent
-76.5499690244.25718442Other/Independent,Freshco Pharmacy,Kingston,2327 Princess St,-76.54996902,44.25718442,K7M3G1,K7M,Other/Independent
-76.5535727244.25025122Rexall,Rexall Pharma Plus #108,Kingston,817 Edgar St,-76.55357272,44.25025122,K7M8Y4,K7M,Rexall
-76.5583154244.25752562Shoppers Drug Mart,Shoppers Drug Mart #1429,Kingston,2437 Princess St,-76.55831542,44.25752562,K7M3G1,K7M,Shoppers Drug Mart
-76.5603925244.26018002Costco,Costco Pharmacy #533,Kingston,1015 Centennial Dr,-76.56039252,44.26018002,K7P3B7,K7P,Costco
-76.5669322344.23530071Pharmasave,Gardiners Pharmasave,Kingston,500 Gardiners Rd,-76.56693223,44.23530071,K7M7W9,K7M,Pharmasave
-76.5674883344.27306502Other/Independent,Medical Pharmacy,Kingston,631 Fortune Crescent,-76.56748833,44.27306502,K7P0L5,K7P,Other/Independent
-76.5690727344.25111822Other/Independent,Medical Tree Pharmacy,Kingston,795 Gardiners Rd,-76.56907273,44.25111822,K7M7E6,K7M,Other/Independent
-76.5711402344.21848681Other/Independent,Reddendale Pharmacy,Kingston,732 Front Rd,-76.57114023,44.21848681,K7M6P7,K7M,Other/Independent
-76.5721710344.25633632Shoppers Drug Mart,Shoppers Drug Mart #1284,Kingston,945 Gardiners Rd,-76.57217103,44.25633632,K7M7H4,K7M,Shoppers Drug Mart
-76.5722326344.26101022Loblaw,Loblaw Pharmacy #1083,Kingston,1048 Midland Ave,-76.57223263,44.26101022,K7P2X9,K7P,Loblaw
-76.5725577344.26513262Walmart,Wal-Mart Pharmacy,Kingston,1130 Midland Ave,-76.57255773,44.26513262,K7P2X9,K7P,Walmart
-76.5806125344.24840371Other/Independent,Milford Pharmacy,Kingston,728 Milford Dr,-76.58061253,44.24840371,K7P1C6,K7P,Other/Independent
-76.5823035344.23691601Shoppers Drug Mart,Shoppers Drug Mart #608,Kingston,1875 Bath Rd,-76.58230353,44.23691601,K7M4Y3,K7M,Shoppers Drug Mart
-76.5919508344.23788821Loblaw,Drugstore Pharmacy #4231,Kingston,1030 Coverdale Dr,-76.59195083,44.23788821,K7M8X7,K7M,Loblaw
-76.5931267344.25180531Shoppers Drug Mart,Shoppers Drug Mart #1144,Kingston,775 Strand Blvd,-76.59312673,44.25180531,K7P2S7,K7P,Shoppers Drug Mart
-76.5969678544.40956264Other/Independent,Drugsmart Pharmacy #001,Sydenham,4375 Mill St,-76.59696785,44.40956264,K0H2T0,K0H,Other/Independent
-76.5974905444.26157772Other/Independent,West Side Pharmacy&compounding,Kingston,3079 Princess St,-76.59749054,44.26157772,K7L4V2,K7L,Other/Independent
-76.6097714444.24233791Pharmasave,Collins Bay Pharmasave,Kingston,4037 Bath Rd,-76.60977144,44.24233791,K7M3Y5,K7M,Pharmasave
-76.6423544544.21957721Shoppers Drug Mart,Shoppers Drug Mart #1397,Amherstview,15 Sherwood Ave,-76.64235445,44.21957721,K7N1N1,K7N,Shoppers Drug Mart
-76.6434574544.21916191Other/Independent,Amherstview Drugs,Kingston,4499 Bath Rd,-76.64345745,44.21916191,K7N1A6,K7N,Other/Independent
-76.6557433645.47961602Walmart,Wal-Mart Pharmacy,Renfrew,980 Obrien Rd,-76.65574336,45.47961602,K7V3Z4,K7V,Walmart
-76.6600706645.47650182Loblaw,Drug Store Pharmacy #4257,Renfrew,680 Obrien Rd,-76.66007066,45.47650182,K7V3Z4,K7V,Loblaw
-76.6608084544.21590551Other/Independent,Hunt's Pharmacy,Amherstview,6 Speers Blvd,-76.66080845,44.21590551,K7N1Z6,K7N,Other/Independent
-76.6631080644.22406431Other/Independent,Loyalist Pharmacy,Amherstview,200 Speers Blvd,-76.66310806,44.22406431,K7N0B6,K7N,Other/Independent
-76.6659672744.40517814Other/Independent,Harrowsmith Pharmacy,Harrowsmith,4937 Hwy 38,-76.66596727,44.40517814,K0H1V0,K0H,Other/Independent
-76.6812497745.47018292Rexall,Rexall,Renfrew,339 Raglan St S,-76.68124977,45.47018292,K7V1R6,K7V,Rexall
-76.6838214745.47154812Other/Independent,Aikenhead's Drug Store Ltd,Renfrew,226 Raglan St S,-76.68382147,45.47154812,K7V1R1,K7V,Other/Independent
-76.6905257144.7710727Pharmasave,Sharbot Lake Pharmasave,Sharbot Lake,1036 Elizabeth St,-76.69052571,44.7710727,K0H2P0,K0H,Pharmasave
-76.6941929944.47948325Other/Independent,Pharma Well Drug Mart,Verona,6674 Hwy 38,-76.69419299,44.47948325,K0H2W0,K0H,Other/Independent
-76.7182924844.27703791Other/Independent,Odessa Pharmacy,Odessa,115 Main St,-76.71829248,44.27703791,K0H2H0,K0H,Other/Independent
-76.7307628745.29974409Other/Independent,Calabogie Pharmacy,Calabogie,1101 Francis St,-76.73076287,45.29974409,K0J1H0,K0J,Other/Independent
-76.8546856344.33373452Other/Independent,Newburgh Pharmacy,Camden East,2068 County Rd 1 E,-76.85468563,44.33373452,K0K2S0,K0K,Other/Independent
-76.8597829545.73580666Other/Independent,Beach-West Pharmacy,Beachburg,1858 Beachburg Rd,-76.85978295,45.73580666,K0T1C0,K0T,Other/Independent
-76.8859361545.62666734Other/Independent,Conway's Pharmacy,Cobden,60 Main St,-76.88593615,45.62666734,K0J1K0,K0J,Other/Independent
-76.9497102544.2479621Other/Independent,Wallace's Drug Store Ltd,Napanee,27 Dundas St E,-76.94971025,44.2479621,K7R3M3,K7R,Other/Independent
-76.9510919544.246888Other/Independent,Gray's Ida Drug Store,Napanee,18 Dundas St W,-76.95109195,44.246888,K7R1Z4,K7R,Other/Independent
-76.9612341544.2565207Shoppers Drug Mart,Shoppers Drug Mart #1182,Napanee,10 Alkenbrack St,-76.96123415,44.2565207,K7R0A6,K7R,Shoppers Drug Mart
-76.9613897644.2586296Other/Independent,Napanee Centre Street Pharmacy,Napanee,445 Centre St N,-76.96138976,44.2586296,K7R3S5,K7R,Other/Independent
-76.9632032644.2593345Rexall,Rexall #6945,Napanee,470 Centre St N,-76.96320326,44.2593345,K7R1P8,K7R,Rexall
-76.9632087644.2569678Metro,Metro Pharmacy #561,Napanee,35 Alkenbrack St,-76.96320876,44.2569678,K7R4C4,K7R,Metro
-76.9635287644.2584129Loblaw,Drugstore Pharmacy 4275,Napanee,450 Centre St N,-76.96352876,44.2584129,K7R1P8,K7R,Loblaw
-76.9668713644.2410395Other/Independent,Napanee Richmond Medical Phmcy,Napanee,307 Bridge St W,-76.96687136,44.2410395,K7R2G3,K7R,Other/Independent
-76.9688344644.2608989Walmart,Wal-Mart Pharmacy,Napanee,89 Jim Kimmett Blvd,-76.96883446,44.2608989,K7R3L1,K7R,Walmart
-76.9696339644.2390153Other/Independent,Paul's Lenadco Pharmacy,Napanee,310 Bridge St W,-76.96963396,44.2390153,K7R2E6,K7R,Other/Independent
-76.9950625944.48742854Other/Independent,Pharma Well Drugmart,Tamworth,5 Concession St N,-76.99506259,44.48742854,K0K3G0,K0K,Other/Independent
-77.0477886844.19502919Other/Independent,Gray's Ida Drug Store,Deseronto,346 Main St,-77.04778868,44.19502919,K0K1X0,K0K,Other/Independent
-77.0806273345.81906446Walmart,Wal-Mart Pharmacy,Pembroke,1108 Pembroke St E,-77.08062733,45.81906446,K8A7R4,K8A,Walmart
-77.0844587345.82090036Rexall,Rexall,Pembroke,1100 Pembroke St E,-77.08445873,45.82090036,K8A6Y7,K8A,Rexall
-77.0917273445.82691636Shoppers Drug Mart,Shoppers Drug Mart #1331,Pembroke,811 Pembroke St E,-77.09172734,45.82691636,K8A3M3,K8A,Shoppers Drug Mart
-77.1009136145.53944181Other/Independent,Conway's Pharmacy,Eganville,251 Bridge St,-77.10091361,45.53944181,K0J1T0,K0J,Other/Independent
-77.1053917445.81374506Other/Independent,Mulvihill Drug Mart,Pembroke,201 Deacon St,-77.10539174,45.81374506,K8A2J6,K8A,Other/Independent
-77.1059423445.82779686Other/Independent,Mulvihill Drug Mart,Pembroke,315 Pembroke St E,-77.10594234,45.82779686,K8A3K2,K8A,Other/Independent
-77.1094758445.82744076Rexall,Rexall,Pembroke,215 Pembroke St E,-77.10947584,45.82744076,K8A3J8,K8A,Rexall
-77.1101312445.82798376Other/Independent,Canadian Add. Treatm. Phcy.,Pembroke,156 John St,-77.11013124,45.82798376,K8A1H5,K8A,Other/Independent
-77.1156434445.82567826Other/Independent,Rowan Drugs,Pembroke,115 Pembroke St W,-77.11564344,45.82567826,K8A5M7,K8A,Other/Independent
-77.1382841944.01107405Other/Independent,Picton Clinic Pharmacy,Prince Edward,389 Main St E,-77.13828419,44.01107405,K0K2T0,K0K,Other/Independent
-77.1415170944.00766815Loblaw,County Drugstore,Prince Edward,219 Main St W,-77.14151709,44.00766815,K0K2T0,K0K,Loblaw
-77.1439099944.00603805Other/Independent,Main Street Pharmacy,Prince Edward,130 Main St W,-77.14390999,44.00603805,K0K2T0,K0K,Other/Independent
-77.1469256944.00588925Other/Independent,Pharma Plus #2261,Prince Edward,97 Main St W,-77.14692569,44.00588925,K0K2T0,K0K,Other/Independent
-77.1474090645.83339306Other/Independent,Mulvihill Drug Mart,Pembroke,1231 Pembroke St W,-77.14740906,45.83339306,K8A5R3,K8A,Other/Independent
-77.1610167644.73835048Guardian,Tobia's Guardian Pharmacy,Northbrook,12357 Hwy 41,-77.16101676,44.73835048,K0H2G0,K0H,Guardian
-77.161480143.99883005Loblaw,Drug Store Pharmacy #4080,Prince Edward,13311 Loyalist Parkway,-77.1614801,43.99883005,K0K2T0,K0K,Loblaw
-77.2448918645.58057801Pharmasave,Golden Lake Pharmasave,Golden Lake,11188 Hwy,-77.24489186,45.58057801,K0J1X0,K0J,Pharmasave
-77.255653445.88430307Other/Independent,Conways Pharmacy Petawawa,Petawawa,3025 Petawawa Blvd,-77.2556534,45.88430307,K8H1X9,K8H,Other/Independent
-77.256701545.89346937Other/Independent,Mulvihill Drug Mart,Petawawa,154 Civic Centre Rd,-77.2567015,45.89346937,K8H3H5,K8H,Other/Independent
-77.263691145.89050587Shoppers Drug Mart,Shoppers Drug Mart #1252,Petawawa,25 Civic Centre Rd,-77.2636911,45.89050587,K8H0B1,K8H,Shoppers Drug Mart
-77.281959145.89764047Other/Independent,Mulvihill Drug Mart,Petawawa,3419 Petawawa Blvd,-77.2819591,45.89764047,K8H1X4,K8H,Other/Independent
-77.2821076145.89894597Rexall,Rexall,Petawawa,1011 Victoria St,-77.28210761,45.89894597,K8H2E2,K8H,Rexall
-77.3128862944.47764682Other/Independent,Dellar's Ida Drug Store,Tweed,249 Victoria St N,-77.31288629,44.47764682,K0K3J0,K0K,Other/Independent
-77.3493499643.95187233Other/Independent,Wellington Pharmacy,Prince Edward,274 Wellington Main St,-77.34934996,43.95187233,K0K3L0,K0K,Other/Independent
-77.3533718744.16833997Other/Independent,Food Basics Pharmacy #524,Belleville,470 Dundas St E,-77.35337187,44.16833997,K8N1E9,K8N,Other/Independent
-77.3533718744.16833997Pharmasave,Pharmasave,Belleville,470 Dundas St E,-77.35337187,44.16833997,K8N1G1,K8N,Pharmasave
-77.3541119844.16764807Other/Independent,Bay View Pharmacy,Belleville,450 Dundas St E,-77.35411198,44.16764807,K8N1E9,K8N,Other/Independent
-77.3569381844.16551837Shoppers Drug Mart,Shoppers Drug Mart #1309,Belleville,405 Dundas St E,-77.35693818,44.16551837,K8N1E7,K8N,Shoppers Drug Mart
-77.3578353844.16693357Loblaw,The Drugstore Pharmacy #4097,Belleville,400 Dundas St E,-77.35783538,44.16693357,K8N1E8,K8N,Loblaw
-77.3583736844.16918477Other/Independent,Kelly's Drug Store,Belleville,411 Bridge St E,-77.35837368,44.16918477,K8N1P7,K8N,Other/Independent
-77.3642539844.16427087Other/Independent,Remedy's Rx,Belleville,274 Dundas St E,-77.36425398,44.16427087,K8N1E6,K8N,Other/Independent
-77.3693634844.16322237Other/Independent,Dundas Medical Pharmacy,Belleville,210 Dundas St E,-77.36936348,44.16322237,K8N5G8,K8N,Other/Independent
-77.3693634844.16322237Rexall,Rexall #8160,Belleville,210 Dundas St E,-77.36936348,44.16322237,K8N5G8,K8N,Rexall
-77.3714841844.16166727Rexall,Rexall Pharma Plus #2253,Belleville,173 Dundas St E,-77.37148418,44.16166727,K8N1C9,K8N,Rexall
-77.3800383844.16105746Other/Independent,Canadian Drug Mart,Belleville,59 Dundas St E,-77.38003838,44.16105746,K8N3B8,K8N,Other/Independent
-77.3843439844.13976696Other/Independent,Rossmore Pharmacy,Belleville,5503 Hwy 62 S,-77.38434398,44.13976696,K8N4Z7,K8N,Other/Independent
-77.3845375944.16408727Other/Independent,Village Pharmacy,Belleville,216 Front St,-77.38453759,44.16408727,K8N2Z2,K8N,Other/Independent
-77.3910028944.17658767Other/Independent,Quinte West Pharmacy,Belleville,144 N Front St,-77.39100289,44.17658767,K8P3B6,K8P,Other/Independent
-77.3910987944.17617337Metro,Metro Pharmacy #521,Belleville,110 N Front St,-77.39109879,44.17617337,K8P3B6,K8P,Metro
-77.3934423944.18508287Pharmasave,Geen's Pharmasave,Belleville,305 N Front St,-77.39344239,44.18508287,K8P3C3,K8P,Pharmasave
-77.3959301944.19593337Walmart,Wal-Mart Pharmacy,Belleville,274 Millenium Parkway,-77.39593019,44.19593337,K8N4Z5,K8N,Walmart
-77.3966766944.15981346Other/Independent,Pharma Xpress,Belleville,161 Bridge St W,-77.39667669,44.15981346,K8P1K2,K8P,Other/Independent
-77.3974194944.18913927Shoppers Drug Mart,Shoppers Drug Mart #601,Belleville,390 N Front St,-77.39741949,44.18913927,K8P3E1,K8P,Shoppers Drug Mart
-77.3976631944.18730107Other/Independent,Bellfront Pharmacy,Belleville,366 N Front St,-77.39766319,44.18730107,K8P5E6,K8P,Other/Independent
-77.3994731944.15957096Shoppers Drug Mart,Shoppers Drug Mart #987,Belleville,150 Sidney St,-77.39947319,44.15957096,K8P5E2,K8P,Shoppers Drug Mart
-77.410442944.18453847Other/Independent,Belleville Pharmacy,Belleville,690 Sidney St,-77.4104429,44.18453847,K8P4A8,K8P,Other/Independent
-77.4150823245.5546801Other/Independent,Killaloe Village Pharmacy,Killaloe,7 Lake St,-77.41508232,45.5546801,K0J2A0,K0J,Other/Independent
-77.4715766444.50531952Other/Independent,Johnston's Pharmacy,Madoc,57 St Lawrence St E,-77.47157664,44.50531952,K0K2K0,K0K,Other/Independent
-77.4870586946.09995909Other/Independent,Cahoon's Pharmacy,Deep River,95 Deep River Rd,-77.48705869,46.09995909,K0J1P0,K0J,Other/Independent
-77.4886419946.10154649Other/Independent,Rx Drug Mart,Deep River,11 Champlain St,-77.48864199,46.10154649,K0J1P0,K0J,Other/Independent
-77.5430435544.29769208Other/Independent,Stirling Pharmacy,Stirling,9 Tuftsville Rd,-77.54304355,44.29769208,K0K3E0,K0K,Other/Independent
-77.5503118544.30035968Pharmasave,Pharmasave,Stirling,160 N St,-77.55031185,44.30035968,K0K3E0,K0K,Pharmasave
-77.5539709344.10380535Loblaw,Loblaw Pharmacy 4106,Quinte West,293 Dundas St E,-77.55397093,44.10380535,K8V1M1,K8V,Loblaw
-77.5690616444.10448105Rexall,Rexall #1008,Quinte West,109 Dundas St E,-77.56906164,44.10448105,K8V1L1,K8V,Rexall
-77.5733600444.10385705Other/Independent,Trenton Pharmacy,Quinte West,64 Ontario St,-77.57336004,44.10385705,K8V6H9,K8V,Other/Independent
-77.5760238444.09967035Other/Independent,Trent Drug Mart,Quinte West,31 Quinte St,-77.57602384,44.09967035,K8V3S7,K8V,Other/Independent
-77.5767169444.09826395Metro,Metro Pharmacy #532,Quinte West,53 Quinte St,-77.57671694,44.09826395,K8V3S8,K8V,Metro
-77.5767181444.10045855Shoppers Drug Mart,Shoppers Drug Mart #619,Quinte West,83 Dundas St W,-77.57671814,44.10045855,K8V3P4,K8V,Shoppers Drug Mart
-77.5769891444.10075375Other/Independent,Canadian Drug Mart,Quinte West,74 Dundas St W,-77.57698914,44.10075375,K8V3P3,K8V,Other/Independent
-77.5871498444.09754534Pharmasave,Pharmasave #9789,Quinte West,290 Dundas St W,-77.58714984,44.09754534,K8V3R9,K8V,Pharmasave
-77.5954765544.09480194Other/Independent,Dundas Quinte Pharmacy,Quinte West,469 Dundas St W,-77.59547655,44.09480194,K8V3S4,K8V,Other/Independent
-77.5961089644.20107336Other/Independent,Madill's Ida Pharmacy,Quinte West,7 Mill St,-77.59610896,44.20107336,K0K2C0,K0K,Other/Independent
-77.6022398544.09279234Walmart,Wal-Mart Pharmacy,Quinte West,2nd Dug Hill Rd,-77.60223985,44.09279234,K8V5P7,K8V,Walmart
-77.679179945.48883628Pharmasave,Lorraine's Pharmasave,Barry's Bay,19566 Opeongo Line,-77.6791799,45.48883628,K0J1B0,K0J,Pharmasave
-77.6822609144.48328821Other/Independent,Nickle's Pharmacy,Marmora,26 Forsyth St,-77.68226091,44.48328821,K0K2M0,K0K,Other/Independent
-77.7217820844.04403753Loblaw,Drugstore Pharmacy #4287,Brighton,155 Elizabeth St,-77.72178208,44.04403753,K0K1H0,K0K,Loblaw
-77.7357367944.04209223Other/Independent,Brighton Global Health,Brighton,12 Elizabeth St,-77.73573679,44.04209223,K0K1H0,K0K,Other/Independent
-77.7367582944.04073803Other/Independent,Brighton Clinic Pharmacy,Brighton,46 Prince Edward St,-77.73675829,44.04073803,K0K1H0,K0K,Other/Independent
-77.7372582944.04192883Rexall,Rexall Pharma Plus #547,Brighton,1 Main St,-77.73725829,44.04192883,K0K1H0,K0K,Rexall
-77.7380008944.04236373Other/Independent,Brighton Remedy's Rx,Brighton,24 Main St,-77.73800089,44.04236373,K0K2H0,K0K,Other/Independent
-77.7908882344.31166077Other/Independent,Trent Hills Pharmacy,Campbellford,119 Isabella St,-77.79088823,44.31166077,K0L1L0,K0L,Other/Independent
-77.7959692344.30792127Other/Independent,Mac Laren Pharmacy,Campbellford,79 Bridge St E,-77.79596923,44.30792127,K0L1L0,K0L,Other/Independent
-77.8008531344.30810957Other/Independent,Rx Drug Mart,Campbellford,16 Grand Rd,-77.80085313,44.30810957,K0L1L0,K0L,Other/Independent
-77.8551698245.0590551Other/Independent,Bancroft Ida Drug Mart,Bancroft,90 Hastings St N,-77.85516982,45.0590551,K0L1C0,K0L,Other/Independent
-77.8565650245.061573Shoppers Drug Mart,Shoppers Drug Mart #1406,Bancroft,118 Hastings St,-77.85656502,45.061573,K0L1C0,K0L,Shoppers Drug Mart
-77.8619824245.0686492Other/Independent,North Hastings Family Pharmacy,Bancroft,217 Hastings St N,-77.86198242,45.0686492,K0L1C0,K0L,Other/Independent
-77.8859989544.20148705Other/Independent,Warkworth Pharmacy,Warkworth,26 Main St,-77.88599895,44.20148705,K0K3K0,K0K,Other/Independent
-77.8875680744.43355959Other/Independent,Havelock Community Pharmacy,Havelock,16 Ottawa St W,-77.88756807,44.43355959,K0L1Z0,K0L,Other/Independent
-77.8876343344.00539142Other/Independent,Downey Pharmacy,Colborne,3 King St E,-77.88763433,44.00539142,K0K1S0,K0K,Other/Independent
-77.8916856744.43334459Other/Independent,Havelock Pharmacy,Havelock,44 Ottawa St W,-77.89168567,44.43334459,K0L1Z0,K0L,Other/Independent
-77.9571473844.30929497Other/Independent,Johnstons Pharmacy,Hastings,6 Front St W,-77.95714738,44.30929497,K0L1Y0,K0L,Other/Independent
-77.979560344.38235928Other/Independent,Centennial Pharmacy,Norwood,2375 County Rd45,-77.9795603,44.38235928,K0L2V0,K0L,Other/Independent
-78.0324505843.99041121Other/Independent,Grafton Healthcare Pharmacy,Grafton,10739 County Rd,-78.03245058,43.99041121,K0K2G0,K0K,Other/Independent
-78.0873040744.75593204Other/Independent,Apsley Pharmacy,Apsley,168 Burleigh St,-78.08730407,44.75593204,K0L1A0,K0L,Other/Independent
-78.1617206444.24071444Other/Independent,Keene Drug Mart,Keene,1105 Heritage Line,-78.16172064,44.24071444,K0L2G0,K0L,Other/Independent
-78.1673011243.9671432Other/Independent,York Super Pharmacy,Cobourg,500 Division St,-78.16730112,43.9671432,K9A3S4,K9A,Other/Independent
-78.1675736243.9658262Other/Independent,Pharmacy 101,Cobourg,464 Division St,-78.16757362,43.9658262,K9A3S2,K9A,Other/Independent
-78.1704267243.96020509Shoppers Drug Mart,Shoppers Drug Mart 1016,Cobourg,270 Spring St,-78.17042672,43.96020509,K9A3K2,K9A,Shoppers Drug Mart
-78.1716736243.9770876Other/Independent,Cobourg Drug Mart,Cobourg,9 Elgin St E,-78.17167362,43.9770876,K9A0A1,K9A,Other/Independent
-78.1826207343.96426179Other/Independent,A+ Compounding Pharmacy,Cobourg,541 William St,-78.18262073,43.96426179,K9A3A4,K9A,Other/Independent
-78.1942490343.976822Other/Independent,The Medicine Shoppe,Cobourg,1060 Burnham St,-78.19424903,43.976822,K9A5V9,K9A,Other/Independent
-78.1956726343.9714782Pharmasave,Pharmasave Cobourg Pharmacy,Cobourg,995 Elgin St W,-78.19567263,43.9714782,K9A5J3,K9A,Pharmasave
-78.1978540343.9757101Walmart,Wal-Mart Pharmacy,Cobourg,73 Strathy Rd,-78.19785403,43.9757101,K9A5J7,K9A,Walmart
-78.2212046345.03273598Other/Independent,Wilberforce Multicare Pharmacy,Tory Hill,2165 Loop Rd,-78.22120463,45.03273598,K0L3C0,K0L,Other/Independent
-78.2376104845.49291735Other/Independent,Whitney Pharmacy,Whitney,29542 Hwy 60,-78.23761048,45.49291735,K0J2M0,K0J,Other/Independent
-78.2677160944.42784977Other/Independent,Village Pharmacy,Lakefield,135 Queen St,-78.26771609,44.42784977,K0L2H0,K0L,Other/Independent
-78.272518444.42373637Other/Independent,Lakefield Ida Pharmacy,Lakefield,32 Queen St,-78.2725184,44.42373637,K0L2H0,K0L,Other/Independent
-78.2848841643.94959929Other/Independent,Peter Street Pharmacy,Port Hope,97 Peter St,-78.28488416,43.94959929,L1A1C5,L1A,Other/Independent
-78.2897045944.29296915Loblaw,Loblaw Pharmacy,Peterborough,400 Lansdowne St E,-78.28970459,44.29296915,K9L0B2,K9L,Loblaw
-78.2898345643.96311939Shoppers Drug Mart,Shoppers Drug Mart 3080,Port Hope,249 Ontario St,-78.28983456,43.96311939,L1A3Y9,L1A,Shoppers Drug Mart
-78.2942335643.95389499Pharmasave,Port Hope Pharmasave,Port Hope,60 Ontario St,-78.29423356,43.95389499,L1A2T8,L1A,Pharmasave
-78.2959726643.95390469Other/Independent,Port Hope Community Pharmacy,Port Hope,50 Cavan St,-78.29597266,43.95390469,L1A4B1,L1A,Other/Independent
-78.310325244.30594565Other/Independent,Sullivans Pharmacy,Peterborough,71 Hunter St E,-78.3103252,44.30594565,K9H1G4,K9H,Other/Independent
-78.311827644.30497095Other/Independent,Burnham Medical Pharmacy,Peterborough,370 Burnham St,-78.3118276,44.30497095,K9H1T6,K9H,Other/Independent
-78.3165209743.95636699Other/Independent,Community Care Pharmacy,Port Hope,99 Toronto Rd,-78.31652097,43.95636699,L1A3S4,L1A,Other/Independent
-78.319320744.30036255Loblaw,Loblaw Pharmacy 4061,Peterborough,230 George St N,-78.3193207,44.30036255,K9J3G8,K9J,Loblaw
-78.3201049743.96148649Other/Independent,Health Centre Pharmacy,Port Hope,15 Henderson St,-78.32010497,43.96148649,L1A0C6,L1A,Other/Independent
-78.320166644.30483905Other/Independent,Shoppers Simply Pharmacy #3002,Peterborough,361 George St N,-78.3201666,44.30483905,K9H3R2,K9H,Other/Independent
-78.3206546743.96053689Loblaw,Loblaw Pharmacy #4265,Port Hope,20 Jocelyn St,-78.32065467,43.96053689,L1A3V7,L1A,Loblaw
-78.321188344.31055455Other/Independent,Medical Pharmacy,Peterborough,555 George St N,-78.3211883,44.31055455,K9H3S1,K9H,Other/Independent
-78.321304944.29661545Rexall,Rexall #6911,Peterborough,85 George St N,-78.3213049,44.29661545,K9J3G3,K9J,Rexall
-78.321321744.30447425Other/Independent,Lakeview Pharmacy Ltd,Peterborough,191 Simcoe St,-78.3213217,44.30447425,K9H2H6,K9H,Other/Independent
-78.321432844.28464744Other/Independent,Mather & Bell Pharmacy Ltd,Peterborough,769 Park St S,-78.3214328,44.28464744,K9J3T6,K9J,Other/Independent
-78.322781444.30344495Other/Independent,New Day Pharmacy Inc,Peterborough,226 Charlotte St,-78.3227814,44.30344495,K9J2T8,K9J,Other/Independent
-78.322819644.30241615Other/Independent,Aylmer Street Pharmacy,Peterborough,296 Aylmer St,-78.3228196,44.30241615,K9J3K7,K9J,Other/Independent
-78.323322744.33295505Other/Independent,Fadhil Pharmacy,Peterborough,184 Marina Blvd,-78.3233227,44.33295505,K9H6M9,K9H,Other/Independent
-78.3233907743.96154119Guardian,Port Hope Guardian Pharmacy,Port Hope,181 Toronto Rd,-78.32339077,43.96154119,L1A3V5,L1A,Guardian
-78.323923844.30347085Shoppers Drug Mart,Shoppers Drug Mart # 995,Peterborough,250 Charlotte St,-78.3239238,44.30347085,K9J2V1,K9J,Shoppers Drug Mart
-78.324788444.30330885Other/Independent,Charlotte Care Pharmacy,Peterborough,270 Charlotte St,-78.3247884,44.30330885,K9J2V4,K9J,Other/Independent
-78.3314210144.31960105Other/Independent,The Medicine Shoppe,Peterborough,860 Chemong Rd,-78.33142101,44.31960105,K9H5Z8,K9H,Other/Independent
