location_code,name,city,province,covid_site,street,date,X,Y,postal,fsa,type
43.6900672-79.81501Other/Independent,Midha Pharmacy Inc,Brampton,Ontario,Yes,15 Fandor Way Unit 1A,2022-06-17,43.6900672,-79.81501,L7A4S2,L7A,Other/Independent
43.6901834-79.2934675Other/Independent,Care and Health Pharmacy,Toronto,Ontario,Yes,2928 Danforth Ave,2021-06-16,43.6901834,-79.2934675,M4C1M1,M4C,Other/Independent
43.6908356-79.4729896Other/Independent,The Medicine Shoppe Pharmacy,Toronto,Ontario,Yes,2600 Eglinton Ave W,2024-09-03,43.6908356,-79.4729896,M6M1T5,M6M,Other/Independent
43.6926252-79.4627417Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,2343 Eglinton Ave W,2024-04-04,43.6926252,-79.4627417,M6E2L6,M6E,Shoppers Drug Mart
43.6933118-79.4623036Other/Independent,New Caledonia Pharmacy,Toronto,Ontario,Yes,600 Caledonia Rd,2022-07-01,43.6933118,-79.4623036,M6E4V5,M6E,Other/Independent
43.6945685-79.7491965Shoppers Drug Mart,Shoppers Drug Mart,Brampton,Ontario,Yes,1 Kennedy Rd S,2023-06-17,43.6945685,-79.7491965,L6W3C9,L6W,Shoppers Drug Mart
43.6950221-79.771375Shoppers Drug Mart,Shoppers Drug Mart,Brampton,Ontario,Yes,366 Main St N,2023-06-19,43.6950221,-79.771375,L6V1P8,L6V,Shoppers Drug Mart
43.6958261-79.4509313Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,1840 Eglinton Ave W,2024-04-03,43.6958261,-79.4509313,M6E2J4,M6E,Shoppers Drug Mart
43.6960021-79.4478439Other/Independent,Northcliffe Pharmacy,Toronto,Ontario,Yes,1751 Eglinton Ave W,2022-07-28,43.6960021,-79.4478439,M6E2H7,M6E,Other/Independent
43.6963155-79.8007812Shoppers Drug Mart,Shoppers Drug Mart,Brampton,Ontario,Yes,10088 McLaughlin Rd,2023-06-18,43.6963155,-79.8007812,L7A2X6,L7A,Shoppers Drug Mart
43.6966927-79.369391Rexall,Rexall,Toronto,Ontario,Yes,325 Moore Ave,2023-02-25,43.6966927,-79.369391,M4G3T6,M4G,Rexall
43.6971001-79.5014085Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,1533 Jane St,2024-03-18,43.6971001,-79.5014085,M9N2R2,M9N,Shoppers Drug Mart
43.6972877-79.8487932IDA,Creditview IDA Pharmacy,Brampton,Ontario,Yes,11210 Creditview Rd Unit D,2021-08-18,43.6972877,-79.8487932,L7A4X3,L7A,IDA
43.697641-79.823528Shoppers Drug Mart,Shoppers Drug Mart,Brampton,Ontario,Yes,10661 Chinguacousy Rd Bldg C Fletchers Meadow,2023-06-12,43.697641,-79.823528,L7A0N5,L7A,Shoppers Drug Mart
43.6976717-79.3960999Guardian,Welcome Guardian Pharmacy,Toronto,Ontario,Yes,1881 Yonge St,2025-01-08,43.6976717,-79.3960999,M4S3C4,M4S,Guardian
43.69811-80.3687829Loblaw,Drugstore Pharmacy,Fergus,Ontario,Yes,800 Towers St S,2021-09-21,43.69811,-80.3687829,N1M2R3,N1M,Loblaw
43.6987992-79.3972615Other/Independent,Sam's I.D.A. Pharmacy,Toronto,Ontario,Yes,1920 Yonge St,2023-04-30,43.6987992,-79.3972615,M4S3E2,M4S,Other/Independent
43.698977-80.3708237Shoppers Drug Mart,Shoppers Drug Mart,Fergus,Ontario,Yes,710 Tower St S,2023-07-31,43.698977,-80.3708237,N1M2R3,N1M,Shoppers Drug Mart
43.6989823-79.4755084Other/Independent,Keele-Ingram Pharmacy,Toronto,Ontario,Yes,2221 Keele St,2022-01-31,43.6989823,-79.4755084,M6M3Z5,M6M,Other/Independent
43.6990215-80.3893792Other/Independent,Trailside Pharmacy,Fergus,Ontario,Yes,6420 Beatty Line N Suite 101,2024-09-16,43.6990215,-80.3893792,N1M2W3,N1M,Other/Independent
43.6990972-79.3597232Loblaw,Loblaws,Toronto,Ontario,Yes,11 Redway Rd,2022-04-27,43.6990972,-79.3597232,M4H1P6,M4H,Loblaw
43.6992126-79.3193571Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,1500 Woodbine Ave,2024-05-01,43.6992126,-79.3193571,M4C4G9,M4C,Shoppers Drug Mart
43.6993661-79.5025262Other/Independent,Whole Health Pharmacy,North York,Ontario,Yes,1575 Jane St Unit 7,2025-01-31,43.6993661,-79.5025262,M9N2R3,M9N,Other/Independent
43.6996614-79.7464113Other/Independent,Queen Hansen Pharmacy,Brampton,Ontario,Yes,284 Queen St E Unit 116,2022-10-15,43.6996614,-79.7464113,L6V1C2,L6V,Other/Independent
43.7004107-79.4270751Rexall,Rexall,Toronto,Ontario,Yes,901 Eglinton Ave W,2023-03-22,43.7004107,-79.4270751,M6C2C1,M6C,Rexall
43.7005399-79.5161679Pharmasave,Pharmasave Eagle Manor,Toronto,Ontario,Yes,1901 Won Rd,2022-09-17,43.7005399,-79.5161679,M9N3P5,M9N,Pharmasave
43.7022155-79.5224508Other/Independent,Friendly Care West King Pharmacy,Toronto,Ontario,Yes,2077 Won Rd,2021-11-29,43.7022155,-79.5224508,M9N1X7,M9N,Other/Independent
43.70261-79.759341Other/Independent,Cumberland Pharmacy,Brampton,Ontario,Yes,131 Kennedy Rd N Unit 2,2021-08-21,43.70261,-79.759341,L6V1X9,L6V,Other/Independent
43.7027877-79.7378724Loblaw,The Drug Store Pharmacy,Brampton,Ontario,Yes,295 Queen St E,2024-08-23,43.7027877,-79.7378724,L6W3R1,L6W,Loblaw
43.7028027-79.4412533Sobeys,Sobeys Pharmacy Rosebury,Toronto,Ontario,Yes,145 Marlee Ave,2024-07-30,43.7028027,-79.4412533,M6B3H3,M6B,Sobeys
43.7034249-79.4128462Other/Independent,Forest Hill Pharmacy,Toronto,Ontario,Yes,491 Eglinton Ave W Unit 102,2021-11-16,43.7034249,-79.4128462,M5N1A8,M5N,Other/Independent
43.7034249-79.7570735Rexall,Rexall,Brampton,Ontario,Yes,227 Vodden St E,2022-11-18,43.7034249,-79.7570735,L6V1N2,L6V,Rexall
43.7048167-79.4066513Other/Independent,Uptown Pharmacy,Toronto,Ontario,Yes,243 Eglinton Ave W,2024-09-24,43.7048167,-79.4066513,M4R1B1,M4R,Other/Independent
43.7057953-79.3460276Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,45 Overlea Blvd,2024-04-10,43.7057953,-79.3460276,M4H1C3,M4H,Shoppers Drug Mart
43.7058539-79.3128279Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,812 OConnor Dr,2024-03-31,43.7058539,-79.3128279,M4B2S9,M4B,Shoppers Drug Mart
43.7063311-79.375022Shoppers Drug Mart,Shoppers Drug Mart,East York,Ontario,Yes,1601 Bayview Ave,2023-07-17,43.7063311,-79.375022,M4G3B5,M4G,Shoppers Drug Mart
43.7065383-79.351572Other/Independent,I CARE Pharmacy Services,East York,Ontario,Yes,2 Thorncliffe Park Dr Unit 26-27,2022-01-12,43.7065383,-79.351572,M4H1H2,M4H,Other/Independent
43.706743-79.786987Rexall,Rexall,Brampton,Ontario,Yes,10035 Hurontario St Units 13-15,2022-11-21,43.706743,-79.786987,L6Z0E6,L6Z,Rexall
43.7069465-79.2687238Pharmasave,Birchmount Pharmasave,Scarborough,Ontario,Yes,462 Birchmount Rd,2021-05-19,43.7069465,-79.2687238,M1K1N8,M1K,Pharmasave
43.707102-79.3480393Costco,Costco Pharmacy,Thorncliffe Park,Ontario,Yes,42 Overlea Blvd,2021-08-07,43.707102,-79.3480393,M4H1B8,M4H,Costco
43.7072693-79.3996009Rexall,Rexall,Toronto,Ontario,Yes,2300 Yonge St,2023-03-17,43.7072693,-79.3996009,M4P1E4,M4P,Rexall
43.7073389-79.6992351Shoppers Drug Mart,Shoppers Drug Mart,Brampton,Ontario,Yes,34 A Avondale Blvd,2023-06-20,43.7073389,-79.6992351,L6T1H3,L6T,Shoppers Drug Mart
43.7077189-79.7825675Loblaw,Drugstore Pharmacy,Brampton,Ontario,Yes,60 Quarry Edge Dr,2021-09-19,43.7077189,-79.7825675,L6V1K2,L6V,Loblaw
43.7077315-79.3895818Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,759 Mount Pleasant Rd,2024-04-27,43.7077315,-79.3895818,M4S2N4,M4S,Shoppers Drug Mart
43.7082127-79.4781558Other/Independent,Demarco Pharmacy,Toronto,Ontario,Yes,2394 Keele St,2021-08-26,43.7082127,-79.4781558,M6M4A5,M6M,Other/Independent
43.7085041-79.4733767Walmart,Wal-Mart Pharmacy,Toronto,Ontario,Yes,1305 Lawrence Ave W,2024-12-15,43.7085041,-79.4733767,M6L1A5,M6L,Walmart
43.7085848-79.4539933Other/Independent,Glen Park Pharmacy,Toronto,Ontario,Yes,2920 Dufferin St,2021-12-07,43.7085848,-79.4539933,M6B3S8,M6B,Other/Independent
43.7089492-79.3978503Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,2345 Yonge St,2024-05-06,43.7089492,-79.3978503,M4P1E4,M4P,Shoppers Drug Mart
43.7095985-79.5337277Loblaw,Real Canadian Superstore,Toronto,Ontario,Yes,2549 Won Rd,2022-10-31,43.7095985,-79.5337277,M9N2A7,M9N,Loblaw
43.7102558-79.8157516Other/Independent,Potters Wheel Pharmacy,Brampton,Ontario,Yes,10725 Mclaughlin Rd Unit 3,2022-10-03,43.7102558,-79.8157516,L7A3E5,L7A,Other/Independent
43.7110841-79.5654365Shoppers Drug Mart,Shoppers Drug Mart,Etobicoke,Ontario,Yes,123 Rexdale Blvd,2023-07-30,43.7110841,-79.5654365,M9W1P1,M9W,Shoppers Drug Mart
43.7132335-79.7270175Pharmasave,BramCity Pharmasave,Brampton,Ontario,Yes,14 Lisa St,2021-05-31,43.7132335,-79.7270175,L6T4W2,L6T,Pharmasave
43.7138049-79.5531438Walmart,Wal-Mart Pharmacy,Toronto,Ontario,Yes,2245 Islington Ave,2024-12-14,43.7138049,-79.5531438,M9W3W7,M9W,Walmart
43.7139063-79.2984113Other/Independent,Victoria Park Pharmacy,Toronto,Ontario,Yes,1314 Victoria Park Ave,2024-09-27,43.7139063,-79.2984113,M4B2L4,M4B,Other/Independent
43.7140566-79.3778586Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,1860 Bayview Ave Unit 101,2024-04-07,43.7140566,-79.3778586,M4G0C3,M4G,Shoppers Drug Mart
43.7140887-79.7808132Other/Independent,Shoppers Simply Pharmacy,Brampton,Ontario,Yes,380 Bovaird Dr E Unit 26,2024-06-29,43.7140887,-79.7808132,L6Z2S8,L6Z,Other/Independent
43.7141429-79.6299018Other/Independent,Shoppers Simply Pharmacy,Mississauga,Ontario,Yes,3530 Derry Rd E,2024-06-30,43.7141429,-79.6299018,L4T4E3,L4T,Other/Independent
43.7150307-79.7214959Shoppers Drug Mart,Shoppers Drug Mart,Brampton,Ontario,Yes,25 Peel Centre Dr Unit 379,2023-06-06,43.7150307,-79.7214959,L6T3R5,L6T,Shoppers Drug Mart
43.7151956-79.4524299Shoppers Drug Mart,Shoppers Drug Mart,North York,Ontario,Yes,770 Lawrence Ave W,2023-12-04,43.7151956,-79.4524299,M6A3C6,M6A,Shoppers Drug Mart
43.7154601-79.7216982Metro,Metro Pharmacy,Brampton,Ontario,Yes,25 Peel Centre Dr,2022-06-02,43.7154601,-79.7216982,L6T3R5,L6T,Metro
43.7182841-79.6374099Shoppers Drug Mart,Shoppers Drug Mart,Mississauga,Ontario,Yes,7205 Goreway Dr,2023-11-06,43.7182841,-79.6374099,L4T2T9,L4T,Shoppers Drug Mart
43.7183786-79.3300652Other/Independent,Allcures Pharmacy,Toronto,Ontario,Yes,31 St Dennis Dr Unit 1,2021-04-22,43.7183786,-79.3300652,M3C1G7,M3C,Other/Independent
43.7193258-79.4328516Shoppers Drug Mart,Shoppers Drug Mart,North York,Ontario,Yes,3110 Bathurst St,2023-11-29,43.7193258,-79.4328516,M6A2A1,M6A,Shoppers Drug Mart
43.7203603-79.5109429Shoppers Drug Mart,Shoppers Drug Mart,North York,Ontario,Yes,1597 Wilson Ave,2023-11-30,43.7203603,-79.5109429,M3L1A5,M3L,Shoppers Drug Mart
43.7211646-79.6398594Walmart,Wal-Mart Pharmacy,Malton,Ontario,Yes,7333 Goreway Dr,2024-11-02,43.7211646,-79.6398594,L4T2T8,L4T,Walmart
43.7217584-79.5961609Other/Independent,Fortinos,Etobicoke,Ontario,Yes,330 Queens Plate Dr,2021-11-18,43.7217584,-79.5961609,M9W7J7,M9W,Other/Independent
43.7224301-79.510771Walmart,Wal-Mart Pharmacy,Toronto,Ontario,Yes,2202 Jane St,2024-12-13,43.7224301,-79.510771,M3M1A4,M3M,Walmart
43.722525-79.4161207Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,1500 Ave Rd,2024-05-04,43.722525,-79.4161207,M5M3X2,M5M,Shoppers Drug Mart
43.7226426-79.7175955Other/Independent,Kensington Pharmacy,Brampton,Ontario,Yes,18 Kensington Rd,2022-02-04,43.7226426,-79.7175955,L6T4S5,L6T,Other/Independent
43.7227042-79.3375083Loblaw,Real Canadian Superstore,Toronto,Ontario,Yes,825 Don Mills Rd,2022-10-30,43.7227042,-79.3375083,M3C1V4,M3C,Loblaw
43.723647-79.30042Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,70 Eglinton Square Blvd,2024-03-21,43.723647,-79.30042,M1L2K1,M1L,Shoppers Drug Mart
43.7237804-79.4887557Rexall,Rexall,Toronto,Ontario,Yes,1235 Wilson Ave,2023-02-24,43.7237804,-79.4887557,M3M0B2,M3M,Rexall
43.7238783-79.7173326Other/Independent,Bramqueen Pharmacy,Brampton,Ontario,Yes,490 Bramalea Rd Unit 3,2021-06-03,43.7238783,-79.7173326,L6T0G1,L6T,Other/Independent
43.7251083-79.4528087Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,3401 Dufferin St,2024-04-08,43.7251083,-79.4528087,M6A2T9,M6A,Shoppers Drug Mart
43.7252846-79.2305937Shoppers Drug Mart,Shoppers Drug Mart,Scarborough,Ontario,Yes,2999 Kingston Rd,2024-02-13,43.7252846,-79.2305937,M1M1P1,M1M,Shoppers Drug Mart
43.725378-79.4309518Other/Independent,Premier Pharmacy and Compounding Centre,Toronto,Ontario,Yes,3323 Bathurst St,2022-10-04,43.725378,-79.4309518,M6A2B7,M6A,Other/Independent
43.725741-79.4830004Rexall,Rexall,Toronto,Ontario,Yes,1115 Wilson Ave,2023-03-21,43.725741,-79.4830004,M3M1H2,M3M,Rexall
43.7274519-79.7944777Shoppers Drug Mart,Shoppers Drug Mart,Brampton,Ontario,Yes,180 Sandalwood Parkway,2023-06-05,43.7274519,-79.7944777,L6Z1Y4,L6Z,Shoppers Drug Mart
43.7282615-79.4808439Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,1084 Wilson Ave,2024-05-05,43.7282615,-79.4808439,M3K1G6,M3K,Shoppers Drug Mart
43.7283577-79.2955271Walmart,Wal-Mart Pharmacy,Scarborough,Ontario,Yes,1900 Eglinton Ave E,2024-12-01,43.7283577,-79.2955271,M1L2L9,M1L,Walmart
43.730309-80.9688021Other/Independent,Listowel Remedy's Rx,Listowel,Ontario,Yes,600 Mitchell Rd,2022-02-24,43.730309,-80.9688021,N4W3T1,N4W,Other/Independent
43.7308124-79.4673782Pharmasave,Lefko Pharmasave #794,Toronto,Ontario,Yes,842 Wilson Ave,2022-02-21,43.7308124,-79.4673782,M3K1E5,M3K,Pharmasave
43.7309565-79.3057989Other/Independent,Main Drug Mart,Toronto,Ontario,Yes,1646 Victoria Park Ave Unit 7,2022-05-09,43.7309565,-79.3057989,M1R1P7,M1R,Other/Independent
43.7310281-81.6879773Loblaw,Zehrs Pharmacy,Goderich,Ontario,Yes,35400 Hurdon Rd,2025-02-17,43.7310281,-81.6879773,N7A3X8,N7A,Loblaw
43.7310281-81.6879773Walmart,Wal-Mart Pharmacy,Goderich,Ontario,Yes,35400 Huron Rd,2024-10-18,43.7310281,-81.6879773,N7A3X8,N7A,Walmart
43.7310297-79.4559733Costco,Costco Pharmacy,North York,Ontario,Yes,100 Billy Bishop Way,2021-07-31,43.7310297,-79.4559733,M3K2C8,M3K,Costco
43.7311192-79.7625929Metro,Metro Pharmacy,Brampton,Ontario,Yes,20 Great Lakes Dr,2022-06-01,43.7311192,-79.7625929,L6R2K7,L6R,Metro
43.7315528-79.4639921Other/Independent,Nhatrang Drug Mart,Toronto,Ontario,Yes,736 Wilson Ave,2022-07-04,43.7315528,-79.4639921,M3K1E2,M3K,Other/Independent
43.7315552-79.7604465Shoppers Drug Mart,Shoppers Drug Mart,Brampton,Ontario,Yes,25 Great Lakes Dr,2023-06-08,43.7315552,-79.7604465,L6R2S5,L6R,Shoppers Drug Mart
43.7320812-79.2672493Pharmasave,HealthSmart Pharmasave,Scarborough,Ontario,Yes,2425 Eglinton Ave E Unit 10,2022-01-01,43.7320812,-79.2672493,M1K5G8,M1K,Pharmasave
43.7323488-79.4045109Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,3366 Yonge St,2024-04-15,43.7323488,-79.4045109,M4N2M7,M4N,Shoppers Drug Mart
43.7330711-79.4042829Rexall,Rexall,Toronto,Ontario,Yes,3402 Yonge St,2023-03-01,43.7330711,-79.4042829,M4N2M9,M4N,Rexall
43.7338026-79.7205756Shoppers Drug Mart,Shoppers Drug Mart,Brampton,Ontario,Yes,980 Central Park Dr,2023-06-11,43.7338026,-79.7205756,L6S3L7,L6S,Shoppers Drug Mart
43.7338349-79.8231815Shoppers Drug Mart,Shoppers Drug Mart,Brampton,Ontario,Yes,11965 Hurontario St,2023-06-15,43.7338349,-79.8231815,L6Z4P7,L6Z,Shoppers Drug Mart
43.7346054-79.7444674Shoppers Drug Mart,Shoppers Drug Mart,Brampton,Ontario,Yes,930 N Park Dr,2023-06-10,43.7346054,-79.7444674,L6S3Y5,L6S,Shoppers Drug Mart
43.734785-79.419593Other/Independent,Canada Chemists,Toronto,Ontario,Yes,1975 Ave Rd,2021-06-13,43.734785,-79.419593,M5M4A3,M5M,Other/Independent
43.7354112-79.3480078Other/Independent,Healing Arts Pharmacy,Toronto,Ontario,Yes,170 The Donway W Unit 113,2021-12-23,43.7354112,-79.3480078,M3C2J2,M3C,Other/Independent
43.7362764-79.4197057Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,2047 Ave Rd,2024-04-14,43.7362764,-79.4197057,M5M4A7,M5M,Shoppers Drug Mart
43.7363941-79.2474937Shoppers Drug Mart,Shoppers Drug Mart,Scarborough,Ontario,Yes,2751 Eglinton Ave E,2024-02-24,43.7363941,-79.2474937,M1J2C7,M1J,Shoppers Drug Mart
43.7371923-79.4366764Other/Independent,Bathurst Wilson I.D.A. Pharmacy,Toronto,Ontario,Yes,322 Wilson Ave,2021-05-11,43.7371923,-79.4366764,M3H1S8,M3H,Other/Independent
43.7373179-79.2494319Rexall,Rexall,Scarborough,Ontario,Yes,2682 Eglinton Ave E,2023-02-15,43.7373179,-79.2494319,M1K2S3,M1K,Rexall
43.7375271-79.2173581Pharmasave,Pharmasave,Toronto,Ontario,Yes,3485 Kingston Rd,2022-09-10,43.7375271,-79.2173581,M1M1R4,M1M,Pharmasave
43.7380002-79.7014435Other/Independent,Gateway Medical Plex Pharmacy,Brampton,Ontario,Yes,25 Gateway Blvd,2021-12-03,43.7380002,-79.7014435,L6T0H8,L6T,Other/Independent
43.7395064-79.5118365Other/Independent,Pharma Trust Drug Mart,Downsview,Ontario,Yes,1935 Sheppard Ave W,2022-08-25,43.7395064,-79.5118365,M3L1Y8,M3L,Other/Independent
43.7403333-79.6958116Walmart,Wal-Mart Pharmacy,Brampton,Ontario,Yes,30 Coventry Rd,2024-10-08,43.7403333,-79.6958116,L6T5P9,L6T,Walmart
43.7405475-79.7599989Other/Independent,Springdale Pharmacy,Brampton,Ontario,Yes,630 Peter Robertson Blvd,2024-08-02,43.7405475,-79.7599989,L6R1T4,L6R,Other/Independent
43.7411737-79.4353135Shoppers Drug Mart,Shoppers Drug Mart,North York,Ontario,Yes,3874 Bathurst St,2023-12-07,43.7411737,-79.4353135,M3H3N3,M3H,Shoppers Drug Mart
43.7416235-81.7086478Other/Independent,Pharma Plus,Goderich,Ontario,Yes,67 Kingston St,2022-08-22,43.7416235,-81.7086478,N7A3K3,N7A,Other/Independent
43.7416936-79.5843728Loblaw,Drug Store Pharmacy,Etobicoke,Ontario,Yes,1530 Albion Rd,2021-09-06,43.7416936,-79.5843728,M9V1B4,M9V,Loblaw
43.7424568-79.3108174Other/Independent,Nofrills,Scarborough,Ontario,Yes,1450 Lawrence Ave E,2022-07-12,43.7424568,-79.3108174,M4A2S8,M4A,Other/Independent
43.7435931-81.2501238Other/Independent,Brussels Pharmacy,Brussels,Ontario,Yes,453 Turnberry St,2021-06-10,43.7435931,-81.2501238,N0G1H0,N0G,Other/Independent
43.7470647-79.3849562Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,2528 Bayview Ave,2024-04-13,43.7470647,-79.3849562,M2L1A9,M2L,Shoppers Drug Mart
43.7472961-79.7430207Rexall,Rexall,Brampton,Ontario,Yes,2100 Bovaird Dr,2022-11-19,43.7472961,-79.7430207,L6R3J7,L6R,Rexall
43.7487442-79.2763879Shoppers Drug Mart,Shoppers Drug Mart,Scarborough,Ontario,Yes,2251 Lawrence Ave E,2024-02-10,43.7487442,-79.2763879,M1P2P5,M1P,Shoppers Drug Mart
43.7490485-79.5603217Shoppers Drug Mart,Shoppers Drug Mart,North York,Ontario,Yes,2550 Finch Ave W,2023-12-06,43.7490485,-79.5603217,M9M2G3,M9M,Shoppers Drug Mart
43.749359-81.704906Pharmasave,Pharmasave Michael's Pharmacy,Goderich,Ontario,Yes,181 Cambria Rd N,2022-09-25,43.749359,-81.704906,N7A2R2,N7A,Pharmasave
43.7496824-79.7265718Other/Independent,Brameast Pharmacy,Brampton,Ontario,Yes,2130 N Park Dr Unit 43-44,2021-06-01,43.7496824,-79.7265718,L6S0C9,L6S,Other/Independent
43.7508309-79.7393303Pharmasave,Pharmasave Bovaird Spingdale,Brampton,Ontario,Yes,2250 Bovaird Dr Unit 101 & 102,2022-09-13,43.7508309,-79.7393303,L6R0W3,L6R,Pharmasave
43.7517056-79.2615008Other/Independent,Lawrence Pharmacy,Scarborough,Ontario,Yes,2683 Lawrence Ave E,2022-02-20,43.7517056,-79.2615008,M1P2S2,M1P,Other/Independent
43.7524704-79.3140955Other/Independent,Cassandra Pharmacy,Toronto,Ontario,Yes,2040 Victoria Park Ave,2021-06-22,43.7524704,-79.3140955,M1R1V2,M1R,Other/Independent
43.752733-79.264041Sobeys,FreshCo Pharmacy Lawrence/Midland,Scarborough,Ontario,Yes,2650 Lawrence Ave E,2021-11-27,43.752733,-79.264041,M1P2S1,M1P,Sobeys
43.754517-79.359184Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,1859 Leslie St,2024-04-19,43.754517,-79.359184,M3B2M1,M3B,Shoppers Drug Mart
43.7546876-79.2446318Shoppers Drug Mart,Shoppers Drug Mart,Scarborough,Ontario,Yes,685 McCowan Rd,2024-02-06,43.7546876,-79.2446318,M1J1K2,M1J,Shoppers Drug Mart
43.7552315-80.6714667Other/Independent,Drayton Pharmacy,Drayton,Ontario,Yes,10 Wellington St N,2021-09-02,43.7552315,-80.6714667,N0G1P0,N0G,Other/Independent
43.7561964-79.5157784Shoppers Drug Mart,Shoppers Drug Mart,North York,Ontario,Yes,3975 Jane St,2023-12-05,43.7561964,-79.5157784,M3N2K1,M3N,Shoppers Drug Mart
43.7562205-79.4395338Shoppers Drug Mart,Shoppers Drug Mart,North York,Ontario,Yes,598 Sheppard Ave W,2023-11-28,43.7562205,-79.4395338,M3H2S1,M3H,Shoppers Drug Mart
43.7565486-79.8282651Pharmasave,Southfields Pharmasave Pharm,Caledon,Ontario,Yes,12531 Kennedy Rd,2024-07-31,43.7565486,-79.8282651,L7C3T6,L7C,Pharmasave
43.7566065-79.5894024Other/Independent,Shih Pharmacy,Rexdale,Ontario,Yes,2700 Kipling Ave Unit 9,2023-05-08,43.7566065,-79.5894024,M9V4P2,M9V,Other/Independent
43.7570595-79.3134587Shoppers Drug Mart,Shoppers Drug Mart,Scarborough,Ontario,Yes,85 Ellesmere Rd Unit 31,2024-02-14,43.7570595,-79.3134587,M1R4B7,M1R,Shoppers Drug Mart
43.7573939-79.7607531Shoppers Drug Mart,Shoppers Drug Mart,Brampton,Ontario,Yes,10665 Bramalea Rd,2023-06-21,43.7573939,-79.7607531,L6R3P4,L6R,Shoppers Drug Mart
43.7575482-79.2304055Other/Independent,Nofrills,Scarborough,Ontario,Yes,3401 Lawrence Ave E,2022-07-13,43.7575482,-79.2304055,M1H1B2,M1H,Other/Independent
43.758913-79.3150402Other/Independent,Health Corner Pharmacy,Scarborough,Ontario,Yes,2167 Victoria Park Ave Unit 3,2021-12-28,43.758913,-79.3150402,M1R1V5,M1R,Other/Independent
43.7589862-79.5188033IDA,York Gate IDA Drugmart,North York,Ontario,Yes,1 York Gate Blvd,2025-02-07,43.7589862,-79.5188033,M3N3A1,M3N,IDA
43.7594111-79.2976102Costco,Costco Pharmacy,Scarborough,Ontario,Yes,1411 Warden Ave,2021-08-05,43.7594111,-79.2976102,M1R2S3,M1R,Costco
43.7595143-79.7285074Shoppers Drug Mart,Shoppers Drug Mart,Brampton,Ontario,Yes,49 Mountainash Rd,2023-06-09,43.7595143,-79.7285074,L6R1W4,L6R,Shoppers Drug Mart
43.7597868-79.2270078Pharmasave,Pharmasave Cedarcourt Pharmacy,Scarborough,Ontario,Yes,3480 Lawrence Ave E,2022-09-14,43.7597868,-79.2270078,M1H1A9,M1H,Pharmasave
43.7601551-79.2253571Shoppers Drug Mart,Shoppers Drug Mart,Scarborough,Ontario,Yes,629 Markham Rd,2024-02-23,43.7601551,-79.2253571,M1H2A4,M1H,Shoppers Drug Mart
43.7602745-79.7299534Loblaw,Drugstore Pharmacy,Brampton,Ontario,Yes,55 Mountainash Rd,2021-09-17,43.7602745,-79.7299534,L6R1W4,L6R,Loblaw
43.7613561-79.4102084Rexall,Rexall,Toronto,Ontario,Yes,4789 Yonge St Unit 2,2023-03-05,43.7613561,-79.4102084,M2N0G3,M2N,Rexall
43.7625088-79.4105316Shoppers Drug Mart,Shoppers Drug Mart,North York,Ontario,Yes,4841 Yonge St,2023-12-08,43.7625088,-79.4105316,M2N5X2,M2N,Shoppers Drug Mart
43.7639352-79.4875255Pharmasave,Pharmasave Keele and Finch Pharmacy,Toronto,Ontario,Yes,1275 Finch Ave W,2022-09-21,43.7639352,-79.4875255,M3J2G5,M3J,Pharmasave
43.7644571-79.4887924Other/Independent,Nor-Arm Pharmacy,Toronto,Ontario,Yes,1280 Finch Ave W Unit 107,2022-07-25,43.7644571,-79.4887924,M3J3K6,M3J,Other/Independent
43.7645963-79.3980702Rexall,Rexall,Willowdale,Ontario,Yes,288 Sheppard Ave E,2023-03-31,43.7645963,-79.3980702,M2N3B1,M2N,Rexall
43.7686186-79.413135Rexall,Rexall,North York,Ontario,Yes,5150 Yonge St,2023-01-22,43.7686186,-79.413135,M2N6L8,M2N,Rexall
43.7686389-79.1873671Rexall,Rexall,Scarborough,Ontario,Yes,4459 Kingston Rd,2023-02-19,43.7686389,-79.1873671,M1E2N7,M1E,Rexall
43.7687022-79.4123463Loblaw,Loblaws,Toronto,Ontario,Yes,5095 Yonge St E,2022-04-22,43.7687022,-79.4123463,M2M3V7,M2M,Loblaw
