,location_code,name,city,province,covid_site,street,date,X,Y,postal,fsa,type
312,43.4472708-79.7053674Metro,Metro Pharmacy,Oakville,Ontario,Yes,280 N Service Rd Unit 1A,2022-06-11,43.4472708,-79.7053674,L6M2S2,L6M,Metro
313,43.4477894-80.5147582Other/Independent,Belgage Pharmacy,Kitchener,Ontario,Yes,525 Belmont Ave W Unit 211,2021-05-14,43.4477894,-80.5147582,N2M5E2,N2M,Other/Independent
314,43.4497724-79.7585629Shoppers Drug Mart,Shoppers Drug Mart,Oakville,Ontario,Yes,2501 Third Line Building B,2023-12-18,43.4497724,-79.7585629,L6M5A9,L6M,Shoppers Drug Mart
316,43.4562537-80.4296965Rexall,Rexall,Kitchener,Ontario,Yes,1405 Ottawa St N Unit 16,2022-12-29,43.4562537,-80.4296965,N2A3Z1,N2A,Rexall
318,43.4570249-80.4726292Other/Independent,Frederick Mall Pharmacy,Kitchener,Ontario,Yes,385 Frederick St Unit 15,2021-11-19,43.4570249,-80.4726292,N2H2P2,N2H,Other/Independent
321,43.461607-79.6868686Shoppers Drug Mart,Shoppers Drug Mart,Oakville,Ontario,Yes,240 Leighland Ave Unit 109A,2023-12-11,43.461607,-79.6868686,L6H3H6,L6H,Shoppers Drug Mart
322,43.4616605-80.5370735Other/Independent,Westmount Place Pharmacy,Waterloo,Ontario,Yes,50 Wmount Rd N,2025-01-23,43.4616605,-80.5370735,N2L2R5,N2L,Other/Independent
323,43.4636306-80.5234326Shoppers Drug Mart,Shoppers Drug Mart,Waterloo,Ontario,Yes,75 King St S Suite 42-43,2024-05-27,43.4636306,-80.5234326,N2J1P2,N2J,Shoppers Drug Mart
326,43.4671912-79.7453665Loblaw,Loblaw Pharmacy,Oakville,Ontario,Yes,493 Dundas St W,2022-03-28,43.4671912,-79.7453665,L6M4M2,L6M,Loblaw
327,43.4676299-81.1975062IDA,Walther's IDA Pharmacy,Mitchell,Ontario,Yes,40 Ontario Rd,2025-01-05,43.4676299,-81.1975062,N0K1N0,N0K,IDA
330,43.4722786-80.5934358Shoppers Drug Mart,Shoppers Drug Mart,Waterloo,Ontario,Yes,600 Laurelwood Dr,2024-05-29,43.4722786,-80.5934358,N2V0A2,N2V,Shoppers Drug Mart
334,43.482577-80.4166341Other/Independent,Breslau Pharmacy & Wellness Centre,Breslau,Ontario,Yes,11 Woolwich St N,2021-06-06,43.482577,-80.4166341,N0B1M0,N0B,Other/Independent
336,43.483084-80.5059867Loblaw,Zehrs Pharmacy,Waterloo,Ontario,Yes,315 Lincoln Rd,2025-02-22,43.483084,-80.5059867,N2J4H7,N2J,Loblaw
338,43.483727-79.6945815Shoppers Drug Mart,Shoppers Drug Mart,Oakville,Ontario,Yes,1011 Upper Middle Rd Unit D5,2023-12-14,43.483727,-79.6945815,L6H4L3,L6H,Shoppers Drug Mart
339,43.4838817-79.7222847Loblaw,Real Canadian Superstore,Oakville,Ontario,Yes,201 Oak Park Blvd,2022-10-24,43.4838817,-79.7222847,L6H7T4,L6H,Loblaw
340,43.4840268-79.7189493Loblaw,Real Canadian Superstore,Oakville,Ontario,Yes,201 Oak Walk Dr,2022-10-25,43.4840268,-79.7189493,L6H7T4,L6H,Loblaw
342,43.4872338-79.7163465Other/Independent,White Oaks Pharmacy,Oakville,Ontario,Yes,360 Dundas St E Unit B6,2025-01-28,43.4872338,-79.7163465,L6H6Z9,L6H,Other/Independent
347,43.4964037-80.5505957Rexall,Rexall,Waterloo,Ontario,Yes,585 Weber St N,2023-03-26,43.4964037,-80.5505957,N2V1V8,N2V,Rexall
349,43.4971481-79.868498Other/Independent,Origins Pharmacy Milton,Milton,Ontario,Yes,725 Bronte St S Units 2 & 3,2022-08-02,43.4971481,-79.868498,L9T9K1,L9T,Other/Independent
350,43.4975595-79.8740899Shoppers Drug Mart,Shoppers Drug Mart,Milton,Ontario,Yes,6951 Derry Rd W,2023-10-17,43.4975595,-79.8740899,L9T7H5,L9T,Shoppers Drug Mart
351,43.497886-80.52565Shoppers Drug Mart,Shoppers Drug Mart,Waterloo,Ontario,Yes,550 King St N Major 4A,2024-05-30,43.497886,-80.52565,N2L5W6,N2L,Shoppers Drug Mart
355,43.4991677-79.6502461Other/Independent,Clear View Pharmacy,Oakville,Ontario,Yes,1140 Winston Churchill Blvd Unit A6,2021-06-30,43.4991677,-79.6502461,L6J0A3,L6J,Other/Independent
357,43.5028969-80.1875447Other/Independent,Westminster Square Remedy's Rx,Guelph,Ontario,Yes,33 Farley Dr Unit 4,2025-01-21,43.5028969,-80.1875447,N1L0B7,N1L,Other/Independent
358,43.5031154-80.1898604Loblaw,Zehrs Pharmacy,Guelph,Ontario,Yes,124 Clair Rd E,2025-02-18,43.5031154,-80.1898604,N1L0G6,N1L,Loblaw
366,43.5095219-79.8721649Other/Independent,Miltowne Pharmacy,Milton,Ontario,Yes,311 Commercial St Unit 210,2022-06-20,43.5095219,-79.8721649,L9T3Z9,L9T,Other/Independent
367,43.5113047-79.8553737Other/Independent,Holly Pharmacy,Milton,Ontario,Yes,611 Holly Ave Unit 104,2022-01-09,43.5113047,-79.8553737,L9T0R3,L9T,Other/Independent
369,43.5137432-80.2181014Loblaw,Drugstore Pharmacy,Guelph,Ontario,Yes,160 Kortright Rd W,2021-09-23,43.5137432,-80.2181014,N1G4W2,N1G,Loblaw
370,43.5143315-79.8826537Shoppers Drug Mart,Shoppers Drug Mart,Milton,Ontario,Yes,265 Main St E Unit 104,2023-10-18,43.5143315,-79.8826537,L9T1P1,L9T,Shoppers Drug Mart
371,43.5194199-79.639244Rexall,Rexall,Mississauga,Ontario,Yes,1375 Sdown Rd Unit 1,2023-01-11,43.5194199,-79.639244,L5J2Z1,L5J,Rexall
374,43.5212537-80.2127852Other/Independent,University Square Pharmacy,Guelph,Ontario,Yes,987 Gordon St Unit 8,2024-09-22,43.5212537,-80.2127852,N1G4W3,N1G,Other/Independent
375,43.5216075-80.4983388Other/Independent,Carriage Crossing Pharmacy,Waterloo,Ontario,Yes,105 Oak Park Dr Unit 4,2021-06-21,43.5216075,-80.4983388,N2K0B3,N2K,Other/Independent
378,43.524095-79.6823651Other/Independent,Green Bay Pharmacy & Medical Centre,Mississauga,Ontario,Yes,3015 Winston Churchill Blvd Unit 101A,2021-12-16,43.524095,-79.6823651,L5L2V8,L5L,Other/Independent
380,43.5262111-79.6805618Other/Independent,Surecare Pharmacy,Mississauga,Ontario,Yes,2575 Dundas St W Unit 15,2024-08-17,43.5262111,-79.6805618,L5K2M6,L5K,Other/Independent
385,43.5381727-80.2789099Shoppers Drug Mart,Shoppers Drug Mart,Guelph,Ontario,Yes,104 Silver Creek Parkway,2023-08-08,43.5381727,-80.2789099,N1H7B4,N1H,Shoppers Drug Mart
386,43.5411123-80.2437195Other/Independent,Royal City Pharmacy,Guelph,Ontario,Yes,84 Gordon St,2023-04-21,43.5411123,-80.2437195,N1H4H6,N1H,Other/Independent
388,43.5435601-79.5941721Shoppers Drug Mart,Shoppers Drug Mart,Mississauga,Ontario,Yes,321 Lakeshore Rd W,2023-10-25,43.5435601,-79.5941721,L5H1G9,L5H,Shoppers Drug Mart
389,43.5439603-79.6833601Walmart,Wal-Mart Pharmacy,Mississauga,Ontario,Yes,2160 Burnamthorpe Rd W,2024-11-07,43.5439603,-79.6833601,L5L5Z5,L5L,Walmart
390,43.5442279-79.6836754Loblaw,Loblaw Pharmacy,Mississauga,Ontario,Yes,2150 Burnhamthorpe Rd,2022-03-20,43.5442279,-79.6836754,L5L3A2,L5L,Loblaw
391,43.5458071-79.5921105Loblaw,Loblaw Pharmacy,Mississauga,Ontario,Yes,250 Lakeshore Rd W,2022-03-22,43.5458071,-79.5921105,L5H1G3,L5H,Loblaw
392,43.5509635-79.6875701IDA,Erin Mills IDA Pharmacy,Mississauga,Ontario,Yes,4099 Erin Mills Parkway,2021-10-21,43.5509635,-79.6875701,L5L3P9,L5L,IDA
394,43.5548975-79.714856Loblaw,Loblaw Pharmacy,Mississauga,Ontario,Yes,5010 Glen Erin Dr,2022-03-21,43.5548975,-79.714856,L5M6J3,L5M,Loblaw
396,43.5583725-80.2696782Rexall,Rexall,Guelph,Ontario,Yes,666 Woolwich St Unit 140,2022-12-07,43.5583725,-80.2696782,N1H7G5,N1H,Rexall
399,43.5587936-80.2477205Loblaw,Zehrs Pharmacy,Guelph,Ontario,Yes,297 Eramosa Rd,2025-02-19,43.5587936,-80.2477205,N1E2M7,N1E,Loblaw
400,43.5591152-79.7447193Shoppers Drug Mart,Shoppers Drug Mart,Mississauga,Ontario,Yes,5602 Tenth Line W Unit 101,2023-11-14,43.5591152,-79.7447193,L5M5S5,L5M,Shoppers Drug Mart
403,43.5595002-79.6576223Other/Independent,Woodland Village Pharmacy,Mississauga,Ontario,Yes,3353 The Credit Woodlands,2025-02-05,43.5595002,-79.6576223,L5C2K1,L5C,Other/Independent
407,43.562699-79.6511316Other/Independent,Erindale Medical Pharmacy,Mississauga,Ontario,Yes,1101 Mcbride Ave,2021-10-22,43.562699,-79.6511316,L5C1M6,L5C,Other/Independent
408,43.5655251-80.2810871Walmart,Wal-Mart Pharmacy,Guelph,Ontario,Yes,11 Woodlawn Rd W,2024-10-19,43.5655251,-80.2810871,N1H1G8,N1H,Walmart
409,43.5677449-79.6335428Loblaw,Loblaw Pharmcy,Mississauga,Ontario,Yes,3045 Mavis Rd,2022-04-17,43.5677449,-79.6335428,L5C1T7,L5C,Loblaw
410,43.5682703-79.6629285Other/Independent,Wellness Healthcare Pharmacy,Mississauga,Ontario,Yes,1170 Burnhamthorpe Rd W Unit 8,2025-01-13,43.5682703,-79.6629285,L5C4E6,L5C,Other/Independent
411,43.568496-79.569047Shoppers Drug Mart,Shoppers Drug Mart,Mississauga,Ontario,Yes,579A Lakeshore Rd E,2023-11-01,43.568496,-79.569047,L5G1H9,L5G,Shoppers Drug Mart
412,43.5719735-79.6269626Shoppers Drug Mart,Shoppers Drug Mart,Mississauga,Ontario,Yes,3029 Clayhill Rd,2023-11-09,43.5719735,-79.6269626,L5B4L2,L5B,Shoppers Drug Mart
413,43.5746635-79.7394468Shoppers Drug Mart,Shoppers Drug Mart,Mississauga,Ontario,Yes,6040 Glen Erin Dr,2023-10-21,43.5746635,-79.7394468,L5N3M4,L5N,Shoppers Drug Mart
414,43.5770557-79.6455893Other/Independent,Grand Park Pharmacy,Mississauga,Ontario,Yes,719 Central Parkway W Unit 207,2021-12-13,43.5770557,-79.6455893,L5B4L1,L5B,Other/Independent
417,43.5795537-79.6816002Rexall,Rexall,Mississauga,Ontario,Yes,1240 Eglinton Ave W Unit B7,2023-01-13,43.5795537,-79.6816002,L5V1N3,L5V,Rexall
420,43.5819795-79.7581215Shoppers Drug Mart,Shoppers Drug Mart,Mississauga,Ontario,Yes,6975 Meadowvale Town Centre Circle,2023-11-15,43.5819795,-79.7581215,L5N2W7,L5N,Shoppers Drug Mart
422,43.5827346-79.7651334Other/Independent,Meadowvale Pharmacy,Mississauga,Ontario,Yes,6750 Winston Churchill Blvd Unit 9A,2022-05-17,43.5827346,-79.7651334,L5N4C4,L5N,Other/Independent
423,43.5829407-79.6124406Other/Independent,NKS Health,Mississauga,Ontario,Yes,130 Dundas St E Unit 500,2022-07-06,43.5829407,-79.6124406,L5A3V8,L5A,Other/Independent
424,43.583186-79.6382803Other/Independent,Unicare Pharmacy Of Mississauga,Mississauga,Ontario,Yes,325 Central Parkway W Unit 29,2024-09-20,43.583186,-79.6382803,L5B3X9,L5B,Other/Independent
427,43.5837857-79.7784483Rexall,Rexall,Mississauga,Ontario,Yes,3221 Derry Rd W Unit 16,2023-01-10,43.5837857,-79.7784483,L5N7L7,L5N,Rexall
428,43.5869617-79.6958408Shoppers Drug Mart,Shoppers Drug Mart,Mississauga,Ontario,Yes,5425 Creditview Rd Unit 1,2023-11-13,43.5869617,-79.6958408,L5V2P3,L5V,Shoppers Drug Mart
429,43.5886613-79.7402504Pharmasave,Pharmasave Erin Creek Pharmacy,Mississauga,Ontario,Yes,6400 Millcreek Dr,2022-09-19,43.5886613,-79.7402504,L5N3E7,L5N,Pharmasave
432,43.5930256-79.5689483Loblaw,Drug Store Pharmacy,Mississauga,Ontario,Yes,1250 S Service Rd,2021-09-10,43.5930256,-79.5689483,L5E1V4,L5E,Loblaw
433,43.5930784-79.6424911Shoppers Drug Mart,Shoppers Drug Mart,Mississauga,Ontario,Yes,100 City Centre Dr Unit 1,2023-10-19,43.5930784,-79.6424911,L5B2C9,L5B,Shoppers Drug Mart
435,43.5930846-79.5384814Rexall,Rexall,Toronto,Ontario,Yes,3701 Lake Shore Blvd W,2023-03-02,43.5930846,-79.5384814,M8W1P8,M8W,Rexall
437,43.5938055-79.5407177Shoppers Drug Mart,Shoppers Drug Mart,Etobicoke,Ontario,Yes,3730 Lake Shore Blvd W Unit 102,2023-07-25,43.5938055,-79.5407177,M8W1N6,M8W,Shoppers Drug Mart
439,43.5946885-79.7790956Other/Independent,Extra Mile Pharmacy,Mississauga,Ontario,Yes,2980 Crosscurrent Dr Unit 6,2021-10-27,43.5946885,-79.7790956,L5N7C7,L5N,Other/Independent
440,43.5953804-79.7856304Loblaw,Drugstore Pharmacy,Mississauga,Ontario,Yes,3050 Argentia Rd,2021-09-30,43.5953804,-79.7856304,L5N8E1,L5N,Loblaw
441,43.597888-79.5944055Other/Independent,J. C. Pharmacy,Mississauga,Ontario,Yes,888 Dundas St E Unit B4-2,2022-01-20,43.597888,-79.5944055,L4Y4G6,L4Y,Other/Independent
442,43.5983062-79.5178809Other/Independent,Unicare Pharmacy,Etobicoke,Ontario,Yes,3170 Lakeshore Blvd W,2024-09-19,43.5983062,-79.5178809,M8V3X8,M8V,Other/Independent
443,43.5985631-79.6606921Other/Independent,Heritage Hills Pharmacy,Mississauga,Ontario,Yes,4646 Heritage Hills Blvd Unit 9-10,2022-01-02,43.5985631,-79.6606921,L5R1Y4,L5R,Other/Independent
446,43.5999132-79.7102764Rexall,Rexall,Mississauga,Ontario,Yes,6045 Creditview Rd Unit F001,2023-01-15,43.5999132,-79.7102764,L5V2A8,L5V,Rexall
449,43.6053492-79.5895341Other/Independent,Dixie 5 Pharmacy,Mississauga,Ontario,Yes,1185 Dundas St E,2021-08-29,43.6053492,-79.5895341,L4Y2C6,L4Y,Other/Independent
451,43.607815-79.6176618Shoppers Drug Mart,Shoppers Drug Mart,Mississauga,Ontario,Yes,700 Burnhamthorpe Rd E,2023-10-31,43.607815,-79.6176618,L4Y2X3,L4Y,Shoppers Drug Mart
453,43.6089475-79.5773763Walmart,Walmart,Mississauga,Ontario,Yes,1500 Dundas St E,2024-12-28,43.6089475,-79.5773763,L4X1L4,L4X,Walmart
459,43.6132975-79.5984867Other/Independent,Apple-Hills Medical Pharmacy,Mississauga,Ontario,Yes,1221 Bloor St E,2021-04-28,43.6132975,-79.5984867,L4Y2N8,L4Y,Other/Independent
461,43.6146565-79.6886222Loblaw,Drugstore Pharmacy,Mississauga,Ontario,Yes,5970 Mclaughlin Rd,2021-09-28,43.6146565,-79.6886222,L5R3X9,L5R,Loblaw
462,43.6183959-79.5541975Walmart,Wal-Mart Pharmacy,Etobicoke,Ontario,Yes,165 N Queen St,2024-10-15,43.6183959,-79.5541975,M9C1A7,M9C,Walmart
463,43.6198702-79.5231582Other/Independent,Kipling & Queensway Pharmacy,Etobicoke,Ontario,Yes,1255 The Queensway Unit 20,2022-02-08,43.6198702,-79.5231582,M8Z1S1,M8Z,Other/Independent
465,43.6229404-79.482241Shoppers Drug Mart,Shoppers Drug Mart,Etobicoke,Ontario,Yes,2206 Lake Shore Blvd W,2023-07-29,43.6229404,-79.482241,M8V1A4,M8V,Shoppers Drug Mart
466,43.622949-79.6013391Other/Independent,Professional Medical Pharmacy,Mississauga,Ontario,Yes,1420 Burnhamthorpe Rd E Unit 101,2022-10-10,43.622949,-79.6013391,L4X2Z9,L4X,Other/Independent
468,43.6252506-79.6045863Shoppers Drug Mart,Shoppers Drug Mart,Mississauga,Ontario,Yes,4141 Dixie Rd,2023-11-05,43.6252506,-79.6045863,L4W1V5,L4W,Shoppers Drug Mart
469,43.6296592-79.8771522Guardian,Mountainview Guardian Pharmacy,Georgetown,Ontario,Yes,378 Mountainview Rd S Unit 11,2022-06-27,43.6296592,-79.8771522,L7G0L5,L7G,Guardian
475,43.6335496-79.77034IDA,Copper Ridge IDA Pharmacy,Brampton,Ontario,Yes,8015 Financial Dr Unit B2,2021-07-08,43.6335496,-79.77034,L6Y0B4,L6Y,IDA
477,43.6348382-79.5627147Other/Independent,Glen Cade Pharmacy,Etobicoke,Ontario,Yes,290 The W Mall,2021-12-06,43.6348382,-79.5627147,M9C1C6,M9C,Other/Independent
478,43.6351041-79.7871355Other/Independent,Lionhead Pharmacy,Brampton,Ontario,Yes,8405 Financial Dr Unit 5&6,2022-02-23,43.6351041,-79.7871355,L6Y1M1,L6Y,Other/Independent
480,43.6367569-79.71948Shoppers Drug Mart,Shoppers Drug Mart,Mississauga,Ontario,Yes,7070 Mclaughlin Rd,2023-11-12,43.6367569,-79.71948,L5W1W7,L5W,Shoppers Drug Mart
481,43.6375362-79.4886262Other/Independent,Clinicplus I.D.A. Pharmacy,Etobicoke,Ontario,Yes,10 Neighbourhood Lane Unit 103,2021-07-03,43.6375362,-79.4886262,M8Y0C5,M8Y,Other/Independent
482,43.638124-79.390814Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,390 Queens Quay W Unit 110,2024-05-10,43.638124,-79.390814,M5V3A6,M5V,Shoppers Drug Mart
489,43.6413056-79.5773763Shoppers Drug Mart,Shoppers Drug Mart,Etobicoke,Ontario,Yes,666 Burnhamthorpe Rd,2023-07-22,43.6413056,-79.5773763,M9C2Z4,M9C,Shoppers Drug Mart
493,43.6438493-79.419533Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,1033 Queen St W Unit A,2024-03-23,43.6438493,-79.419533,M6J0A6,M6J,Shoppers Drug Mart
497,43.6459076-79.3878224Rexall,Rexall,Toronto,Ontario,Yes,200 Wellington St W Unit 200,2023-03-15,43.6459076,-79.3878224,M5V3C7,M5V,Rexall
499,43.6462412-79.3926619Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,388 King St W,2024-05-09,43.6462412,-79.3926619,M5V1K2,M5V,Shoppers Drug Mart
500,43.6465177-79.3800808Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,200 Bay St,2024-04-05,43.6465177,-79.3800808,M5J2J3,M5J,Shoppers Drug Mart
503,43.6476696-79.3810141Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,66 Wellington St W Unit 10,2024-04-30,43.6476696,-79.3810141,M5K1A1,M5K,Shoppers Drug Mart
506,43.6481342-79.3794903Rexall,Rexall,Toronto,Ontario,Yes,199 Bay St Unit C186,2023-03-06,43.6481342,-79.3794903,M5L1E7,M5L,Rexall
508,43.648507-79.5072291Other/Independent,Canadian Compounding Pharmacy,Toronto,Ontario,Yes,2920 Bloor St W,2021-06-14,43.648507,-79.5072291,M8X1B6,M8X,Other/Independent
509,43.648566-79.381807Rexall,Rexall,Toronto,Ontario,Yes,1 First Canadian Place Unit CN1038,2023-03-20,43.648566,-79.381807,M5X1C8,M5X,Rexall
510,43.6486711-79.8983397Pharmasave,Medtrust Pharmacy Pharmasave,Georgetown,Ontario,Yes,280 Guelph St Unit 23,2022-05-27,43.6486711,-79.8983397,L7G4B1,L7G,Pharmasave
513,43.6492247-79.9266377Other/Independent,Georgetown Pharmacy,Georgetown,Ontario,Yes,118 Mill St Unit 101,2021-12-04,43.6492247,-79.9266377,L7G2C5,L7G,Other/Independent
515,43.649696-79.4403251Other/Independent,Nofrills,Toronto,Ontario,Yes,222 Lansdowne Ave,2022-07-15,43.649696,-79.4403251,M6K3C6,M6K,Other/Independent
516,43.6497566-79.3830492Rexall,Rexall,Toronto,Ontario,Yes,120 Adelaide St W Unit R28,2023-03-16,43.6497566,-79.3830492,M5H1T1,M5H,Rexall
517,43.6498673-79.3918351Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,260 Queen St W,2024-03-27,43.6498673,-79.3918351,M5V1Z8,M5V,Shoppers Drug Mart
522,43.6505493-79.3870518Rexall,Rexall,Toronto,Ontario,Yes,250 University Ave Unit 120,2023-03-13,43.6505493,-79.3870518,M5H3E5,M5H,Rexall
524,43.6507187-79.372168Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,18 Jarvis St,2024-03-24,43.6507187,-79.372168,M5E1N1,M5E,Shoppers Drug Mart
526,43.6510185-79.7584448Other/Independent,Dukh Bhanjan Pharmacy,Brampton,Ontario,Yes,475 Charolais Blvd Unit B5,2021-10-09,43.6510185,-79.7584448,L6Y0M2,L6Y,Other/Independent
531,43.6533747-79.4667907Other/Independent,High Park Pharmacy,Toronto,Ontario,Yes,1938 Bloor St W,2022-01-04,43.6533747,-79.4667907,M6P3K8,M6P,Other/Independent
533,43.6547754-79.7439307Rexall,Rexall,Brampton,Ontario,Yes,545 Steeles Ave W Unit A01,2022-11-22,43.6547754,-79.7439307,L6Y4E7,L6Y,Rexall
536,43.6559004-79.5658755Shoppers Drug Mart,Shoppers Drug Mart,Etobicoke,Ontario,Yes,600 The E Mall Unit 1,2023-07-24,43.6559004,-79.5658755,M9B4S1,M9B,Shoppers Drug Mart
538,43.6565539-79.3761617Metro,Metro Drugs,Toronto,Ontario,Yes,129 Dundas St E,2022-05-29,43.6565539,-79.3761617,M5B2N6,M5B,Metro
543,43.658418-79.8169362Other/Independent,Credit Ridge Remedy’s Rx Pharmacy,Brampton,Ontario,Yes,9525 Mississauga Rd Unit 7,2021-08-17,43.658418,-79.8169362,L6X0Z8,L6X,Other/Independent
544,43.6587064-79.4880308Other/Independent,Lingeman I.D.A. Pharmacy,Toronto,Ontario,Yes,411 Jane St,2022-02-22,43.6587064,-79.4880308,M6S3Z6,M6S,Other/Independent
547,43.6604859-79.3844559Rexall,Rexall,Toronto,Ontario,Yes,777 Bay St Unit C 216,2023-03-19,43.6604859,-79.3844559,M5G2C8,M5G,Rexall
554,43.6630098-79.3745838Other/Independent,Greendale Drugs,Toronto,Ontario,Yes,152 Carlton St,2021-12-19,43.6630098,-79.3745838,M5A2K1,M5A,Other/Independent
555,43.6641764-79.7338533Loblaw,Loblaw Pharmacy,Brampton,Ontario,Yes,85 Steeles Ave W,2022-03-02,43.6641764,-79.7338533,L6Y0K3,L6Y,Loblaw
557,43.6650475-79.387829Other/Independent,Sanomed Pharmacy & Compounding Centre,Toronto,Ontario,Yes,1000 Bay St,2023-05-02,43.6650475,-79.387829,M5S3A8,M5S,Other/Independent
558,43.6652578-79.473926Other/Independent,Junction Chemist Pharmacy,Toronto,Ontario,Yes,17 St Johns Rd,2022-01-26,43.6652578,-79.473926,M6P1T7,M6P,Other/Independent
560,43.6653855-79.4034771Pharmasave,Pharmasave - Spadina's Neighbourhood Pharmacy,Toronto,Ontario,Yes,720 Spadina Ave Unit 100,2022-09-11,43.6653855,-79.4034771,M5S2T9,M5S,Pharmasave
563,43.6656651-79.4699271Other/Independent,Junction Pharmacy,Toronto,Ontario,Yes,3016 Dundas St W,2022-01-27,43.6656651,-79.4699271,M6P1Z3,M6P,Other/Independent
570,43.6665441-79.4050565Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,360A Bloor St W,2024-05-12,43.6665441,-79.4050565,M5S1X1,M5S,Shoppers Drug Mart
573,43.6672314-79.3812547Other/Independent,Well+Good Pharmacy,Toronto,Ontario,Yes,557 Church St,2025-01-09,43.6672314,-79.3812547,M4Y2E2,M4Y,Other/Independent
576,43.6680541-79.4845815Walmart,Wal-Mart Pharmacy,Toronto,Ontario,Yes,2525 St Clair Ave W,2024-12-16,43.6680541,-79.4845815,M6N4Z5,M6N,Walmart
583,43.6701586-79.3756379Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,565 Sherbourne St Unit 40,2024-04-17,43.6701586,-79.3756379,M4X1W7,M4X,Shoppers Drug Mart
584,43.6701805-79.3002078Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,2000 Queen St E,2024-04-25,43.6701805,-79.3002078,M4L1J2,M4L,Shoppers Drug Mart
585,43.6709974-79.3849884Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,20 Bloor St E,2024-04-18,43.6709974,-79.3849884,M4W3G7,M4W,Shoppers Drug Mart
588,43.6719243-79.3782579Rexall,Rexall,Toronto,Ontario,Yes,345 Bloor St Unit 3,2023-02-27,43.6719243,-79.3782579,M4W1H7,M4W,Rexall
589,43.6748733-79.8060052Other/Independent,James Potter Road Pharmacy,Brampton,Ontario,Yes,9715 James Potter Rd Unit 101,2022-01-23,43.6748733,-79.8060052,L6X3B9,L6X,Other/Independent
592,43.6767537-79.3553553Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,235 Danforth Ave Unit 101,2024-03-26,43.6767537,-79.3553553,M4K1N2,M4K,Shoppers Drug Mart
599,43.6805978-79.288133Pharmasave,Lawlor Pharmasave,Toronto,Ontario,Yes,944 Kingston Rd,2022-02-19,43.6805978,-79.288133,M4E1S7,M4E,Pharmasave
601,43.6827442-79.4191262Shoppers Drug Mart,Shoppers Drug Mart,Toronto,Ontario,Yes,523 St Clair Ave W,2024-05-02,43.6827442,-79.4191262,M6C1A1,M6C,Shoppers Drug Mart
602,43.6830383-79.5658755Shoppers Drug Mart,Shoppers Drug Mart,Etobicoke,Ontario,Yes,415 The Wway,2023-07-21,43.6830383,-79.5658755,M9R1H5,M9R,Shoppers Drug Mart
604,43.683628-80.4303485Other/Independent,Elora Apothecary,Elora,Ontario,Yes,115 Geddes St Unit B,2021-10-18,43.683628,-80.4303485,N0B1S0,N0B,Other/Independent
605,43.6836958-79.8154916Loblaw,Drug Store Pharmacy,Brampton,Ontario,Yes,35 Worthington Ave,2021-09-05,43.6836958,-79.8154916,L7A2Y7,L7A,Loblaw
608,43.685583-79.5240103Other/Independent,La Rose Pharmacy,Weston,Ontario,Yes,140 La Rose Ave,2022-02-13,43.685583,-79.5240103,M9P1B2,M9P,Other/Independent
612,43.6884661-79.3938Rexall,Rexall,Toronto,Ontario,Yes,2 St Clair Ave E Unit C001,2023-03-11,43.6884661,-79.3938,M4T2T5,M4T,Rexall
613,43.6884774-79.3907408Other/Independent,Ava Pharmacy,Toronto,Ontario,Yes,81 St Clair Ave E Unit 220,2021-05-03,43.6884774,-79.3907408,M4T1M7,M4T,Other/Independent
615,43.6890937-79.4957704Other/Independent,Weston Jane Pharmacy,Toronto,Ontario,Yes,1292 Won Rd,2025-01-25,43.6890937,-79.4957704,M6M4R3,M6M,Other/Independent
618,43.6898713-79.3248582Pharmasave,Pharmasave Toronto East,Toronto,Ontario,Yes,825 Coxwell Ave Unit C114,2022-09-27,43.6898713,-79.3248582,M4C3E7,M4C,Pharmasave
619,43.6900078-79.326603Pharmasave,East York Pharmasave,Toronto,Ontario,Yes,840 Coxwell Ave Unit 102,2021-10-16,43.6900078,-79.326603,M4C5T2,M4C,Pharmasave
620,43.6900672-79.81501Other/Independent,Midha Pharmacy Inc,Brampton,Ontario,Yes,15 Fandor Way Unit 1A,2022-06-17,43.6900672,-79.81501,L7A4S2,L7A,Other/Independent
621,43.6901834-79.2934675Other/Independent,Care and Health Pharmacy,Toronto,Ontario,Yes,2928 Danforth Ave,2021-06-16,43.6901834,-79.2934675,M4C1M1,M4C,Other/Independent
622,43.6908356-79.4729896Other/Independent,The Medicine Shoppe Pharmacy,Toronto,Ontario,Yes,2600 Eglinton Ave W,2024-09-03,43.6908356,-79.4729896,M6M1T5,M6M,Other/Independent
